観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),10日の最高気温(℃),10日の最高気温の品質情報,10日の最高気温起時（時）,10日の最高気温起時（分）,10日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（9日まで）,今年の最高気温（9日まで）の品質情報,今年の最高気温（9日まで）を観測した起日（年）,今年の最高気温（9日まで）を観測した起日（月）,今年の最高気温（9日まで）を観測した起日（日）,9日までの観測史上1位の値（℃）,9日までの観測史上1位の値の品質情報,9日までの観測史上1位の値を観測した起日（年）,9日までの観測史上1位の値を観測した起日（月）,9日までの観測史上1位の値を観測した起日（日）,9日までの6月の1位の値,9日までの6月の1位の値の品質情報,9日までの6月の1位の値の起日（年）,9日までの6月の1位の値の起日（月）,9日までの6月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,6,10,,,20.3,8,11,32,8,5.6,-0.7,7.0,3.0,,,0,24.1,4,2024,6,8,31.9,8,2000,8,1,26.4,8,2005,6,22,1978,2024-06-10
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2024,6,10,,,17.6,8,7,19,8,2.0,-6.3,6.0,3.0,,,0,23.9,4,2024,6,9,32.7,8,2021,7,29,26.8,8,1977,6,30,1938,2024-06-10
11046,北海道宗谷地方,礼文（レブン）,,2024,6,10,,,14.8,8,9,2,8,-0.4,-5.5,6.0,1.0,,,0,20.3,4,2024,6,9,30.5,8,2022,7,31,24.6,8,2010,6,29,2003,2024-06-10
11061,北海道宗谷地方,声問（コエトイ）,,2024,6,10,,,19.0,8,11,40,8,1.8,-7.1,6.0,3.0,,,0,26.1,4,2024,6,9,33.3,8,2021,7,29,27.9,8,2023,6,22,2003,2024-06-10
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,6,10,,,20.5,8,12,19,8,5.8,2.3,7.0,3.0,,,0,25.4,4,2024,6,8,32.7,8,2000,7,31,28.3,8,2021,6,11,1978,2024-06-10
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,6,10,,,17.0,8,1,31,8,0.1,-6.8,6.0,2.0,,,0,23.8,4,2024,6,9,31.8,8,2021,8,7,26.1,8,2014,6,3,2003,2024-06-10
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,6,10,,,17.6,8,11,40,8,0.3,-7.9,6.0,2.0,,,0,25.5,4,2024,6,9,32.4,8,2021,7,29,29.2,8,2010,6,29,1977,2024-06-10
11151,北海道宗谷地方,沓形（クツガタ）,,2024,6,10,,,15.9,8,3,2,8,-0.7,-7.0,6.0,1.0,,,0,23.8,4,2024,5,16,32.5,8,1989,8,7,28.6,8,1988,6,30,1977,2024-06-10
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,6,10,,,16.9,8,14,42,8,-1.0,-7.3,6.0,1.0,,,0,24.2,4,2024,6,9,33.1,8,2000,8,1,29.3,8,2010,6,29,1977,2024-06-10
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,6,10,,,22.0,8,14,38,8,5.5,-5.0,7.0,3.0,,,0,27.0,4,2024,6,9,33.6,4,1989,7,27,30.6,8,2014,6,3,1977,2024-06-10
