観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),30日の最高気温(℃),30日の最高気温の品質情報,30日の最高気温起時（時）,30日の最高気温起時（分）,30日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（29日まで）,今年の最高気温（29日まで）の品質情報,今年の最高気温（29日まで）を観測した起日（年）,今年の最高気温（29日まで）を観測した起日（月）,今年の最高気温（29日まで）を観測した起日（日）,29日までの観測史上1位の値（℃）,29日までの観測史上1位の値の品質情報,29日までの観測史上1位の値を観測した起日（年）,29日までの観測史上1位の値を観測した起日（月）,29日までの観測史上1位の値を観測した起日（日）,29日までの7月の1位の値,29日までの7月の1位の値の品質情報,29日までの7月の1位の値の起日（年）,29日までの7月の1位の値の起日（月）,29日までの7月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,7,30,3,0,16.6,4,0.0,48.0,4.0,,,,,,,0.0,26.1,4,2024,7,20,31.9,8,2000,8,1,30.4,8,2000,7,31,1978,2024-07-30
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2024,7,30,3,0,17.9,4,1.0,25.0,4.0,,,,,,,0.0,27.7,4,2024,7,19,32.7,8,2021,7,29,32.7,8,2021,7,29,1938,2024-07-30
11046,北海道宗谷地方,礼文（レブン）,,2024,7,30,3,0,18.3,4,0.0,6.0,4.0,,,,,,,0.0,25.8,4,2024,7,18,30.5,8,2022,7,31,30.5,8,2022,7,31,2003,2024-07-30
11061,北海道宗谷地方,声問（コエトイ）,,2024,7,30,3,0,16.9,4,0.0,2.0,4.0,,,,,,,0.0,28.5,4,2024,7,19,33.3,8,2021,7,29,33.3,8,2021,7,29,2003,2024-07-30
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,7,30,3,0,17.2,4,0.0,46.0,4.0,,,,,,,0.0,28.0,4,2024,7,16,32.7,8,2000,7,31,32.7,8,2000,7,31,1978,2024-07-30
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,7,30,3,0,18.7,4,0.0,2.0,4.0,,,,,,,0.0,27.6,4,2024,7,19,31.8,8,2021,8,7,31.7,8,2021,7,29,2003,2024-07-30
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,7,30,3,0,17.7,4,0.0,3.0,4.0,,,,,,,0.0,28.7,4,2024,7,19,32.4,8,2021,7,29,32.4,8,2021,7,29,1977,2024-07-30
11151,北海道宗谷地方,沓形（クツガタ）,,2024,7,30,3,0,21.4,4,0.0,27.0,4.0,,,,,,,0.0,28.2,4,2024,7,18,32.5,8,1989,8,7,31.9,8,2021,7,31,1977,2024-07-30
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,7,30,3,0,17.7,4,0.0,4.0,4.0,,,,,,,0.0,29.5,4,2024,7,18,33.1,8,2000,8,1,32.8,8,2021,7,27,1977,2024-07-30
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,7,30,3,0,17.6,4,0.0,7.0,4.0,,,,,,,0.0,28.5,4,2024,7,21,33.6,4,1989,7,27,33.6,4,1989,7,27,1977,2024-07-30
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2024,7,30,3,0,18.8,4,0.0,6.0,4.0,,,,,,,0.0,31.1,4,2024,7,19,35.8,8,2021,8,7,35.8,8,2021,7,28,1977,2024-07-30
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2024,7,30,3,0,19.4,4,0.0,11.0,4.0,,,,,,,0.0,31.9,4,2024,7,21,35.0,8,2000,7,31,35.0,8,2000,7,31,1942,2024-07-30
11316,北海道宗谷地方,歌登（ウタノボリ）,,2024,7,30,3,0,19.3,4,0.0,20.0,4.0,,,,,,,0.0,31.4,4,2024,7,21,35.4,8,1989,7,26,35.4,8,1989,7,26,1977,2024-07-30
12011,北海道上川地方,中川（ナカガワ）,,2024,7,30,3,0,21.0,4,1.0,2.0,4.0,,,,,,,0.0,32.1,4,2024,7,18,36.2,8,2021,7,28,36.2,8,2021,7,28,1977,2024-07-30
12041,北海道上川地方,音威子府（オトイネップ）,,2024,7,30,3,0,20.6,4,1.0,45.0,4.0,,,,,,,0.0,31.6,4,2024,7,18,36.6,8,2021,7,28,36.6,8,2021,7,28,1977,2024-07-30
12141,北海道上川地方,美深（ビフカ）,,2024,7,30,3,0,20.2,4,0.0,6.0,4.0,,,,,,,0.0,32.7,4,2024,7,21,36.6,8,2021,7,28,36.6,8,2021,7,28,1977,2024-07-30
12181,北海道上川地方,名寄（ナヨロ）,,2024,7,30,3,0,20.2,4,0.0,13.0,4.0,,,,,,,0.0,33.3,4,2024,7,21,36.4,8,2021,7,28,36.4,8,2021,7,28,1976,2024-07-30
12231,北海道上川地方,下川（シモカワ）,,2024,7,30,3,0,20.5,4,0.0,37.0,4.0,,,,,,,0.0,33.5,4,2024,7,21,37.3,8,2021,7,28,37.3,8,2021,7,28,1977,2024-07-30
12261,北海道上川地方,士別（シベツ）,,2024,7,30,3,0,20.8,4,0.0,20.0,4.0,,,,,,,0.0,32.6,4,2024,7,21,37.0,8,2021,8,7,36.2,8,2021,7,28,1977,2024-07-30
12266,北海道上川地方,朝日（アサヒ）,,2024,7,30,3,0,21.0,4,1.0,10.0,4.0,,,,,,,0.0,33.6,4,2024,7,21,37.2,8,2021,8,7,36.9,8,2021,7,28,1977,2024-07-30
12301,北海道上川地方,和寒（ワッサム）,,2024,7,30,3,0,20.7,4,0.0,22.0,4.0,,,,,,,0.0,33.1,4,2024,7,21,36.8,8,2021,8,7,36.3,8,2021,7,28,1977,2024-07-30
12386,北海道上川地方,江丹別（エタンベツ）,,2024,7,30,3,0,21.8,4,0.0,59.0,4.0,,,,,,,0.0,33.2,4,2024,7,18,38.4,8,2021,7,31,38.4,8,2021,7,31,1977,2024-07-30
12396,北海道上川地方,比布（ピップ）,,2024,7,30,3,0,21.1,4,0.0,45.0,4.0,,,,,,,0.0,33.8,4,2024,7,19,36.9,8,2021,8,7,35.8,8,2021,7,28,1977,2024-07-30
12411,北海道上川地方,上川（カミカワ）,,2024,7,30,3,0,20.4,4,0.0,8.0,4.0,,,,,,,0.0,31.2,4,2024,7,21,35.1,8,2021,8,7,34.3,8,2021,7,28,1977,2024-07-30
12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2024,7,30,3,0,21.7,4,0.0,28.0,4.0,,,,,,,0.0,35.0,4,2024,7,21,37.9,8,2021,8,7,37.6,8,2021,7,31,1888,2024-07-30
12451,北海道上川地方,東川（ヒガシカワ）,,2024,7,30,3,0,21.3,4,0.0,28.0,4.0,,,,,,,0.0,33.7,4,2024,7,20,37.0,8,2021,8,6,36.6,8,2021,7,28,1977,2024-07-30
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2024,7,30,3,0,20.6,4,0.0,13.0,4.0,,,,,,,0.0,33.0,4,2024,7,21,36.1,8,2021,8,7,35.6,8,2021,7,31,2003,2024-07-30
12512,北海道上川地方,志比内（シビナイ）,,2024,7,30,3,0,20.8,4,0.0,3.0,4.0,,,,,,,0.0,33.4,4,2024,7,21,35.3,8,2021,8,7,34.6,8,2021,7,31,1993,2024-07-30
12551,北海道上川地方,美瑛（ビエイ）,,2024,7,30,3,0,20.5,4,0.0,5.0,4.0,,,,,,,0.0,34.9,4,2024,7,21,37.1,8,2021,8,7,36.1,8,2021,7,31,1977,2024-07-30
12596,北海道上川地方,上富良野（カミフラノ）,,2024,7,30,3,0,21.6,4,0.0,14.0,4.0,,,,,,,0.0,35.7,4,2024,7,21,37.5,8,2021,8,7,37.2,8,2021,7,31,1977,2024-07-30
12626,北海道上川地方,富良野（フラノ）,,2024,7,30,3,0,21.1,4,0.0,51.0,4.0,,,,,,,0.0,35.4,4,2024,7,21,38.5,8,2021,8,7,36.5,8,2021,7,31,1976,2024-07-30
12632,北海道上川地方,麓郷（ロクゴウ）,,2024,7,30,3,0,20.8,4,1.0,56.0,4.0,,,,,,,0.0,34.6,4,2024,7,21,37.4,8,2021,8,7,36.2,8,2021,7,31,1978,2024-07-30
12691,北海道上川地方,幾寅（イクトラ）,,2024,7,30,3,0,20.5,4,3.0,0.0,4.0,,,,,,,0.0,34.0,4,2024,7,21,34.9,8,2023,8,24,34.0,8,2024,7,21,1977,2024-07-30
12746,北海道上川地方,占冠（シムカップ）,,2024,7,30,3,0,19.9,4,0.0,26.0,4.0,,,,,,,0.0,32.8,4,2024,7,21,34.6,8,2021,7,19,34.6,8,2021,7,19,1977,2024-07-30
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,7,30,3,0,20.1,4,0.0,19.0,4.0,,,,,,,0.0,32.6,4,2024,7,21,34.9,8,2021,7,28,34.9,8,2021,7,28,1978,2024-07-30
15076,北海道上川地方,幌加内（ホロカナイ）,,2024,7,30,3,0,21.1,4,0.0,38.0,4.0,,,,,,,0.0,33.1,4,2024,7,18,37.3,8,2021,7,28,37.3,8,2021,7,28,1977,2024-07-30
13061,北海道留萌地方,天塩（テシオ）,,2024,7,30,3,0,20.1,4,0.0,2.0,4.0,,,,,,,0.0,31.3,4,2024,7,18,33.8,4,2021,7,27,33.8,4,2021,7,27,1977,2024-07-30
13086,北海道留萌地方,遠別（エンベツ）,,2024,7,30,3,0,20.8,4,0.0,7.0,4.0,,,,,,,0.0,30.9,4,2024,7,18,34.2,8,1979,8,18,33.3,8,2021,7,31,1977,2024-07-30
13121,北海道留萌地方,初山別（ショサンベツ）,,2024,7,30,3,0,20.9,4,0.0,13.0,4.0,,,,,,,0.0,30.2,4,2024,7,18,33.8,8,2021,8,1,33.2,8,1989,7,26,1977,2024-07-30
13146,北海道留萌地方,焼尻（ヤギシリ）,,2024,7,30,3,0,20.9,4,0.0,33.0,4.0,,,,,,,0.0,28.9,4,2024,7,18,32.4,8,2023,8,24,31.2,8,2021,7,30,1977,2024-07-30
13181,北海道留萌地方,羽幌（ハボロ）,47404.0,2024,7,30,3,0,21.9,4,0.0,13.0,4.0,,,,,,,0.0,29.8,4,2024,7,19,34.4,8,2021,8,1,34.2,8,1989,7,26,1921,2024-07-30
13261,北海道留萌地方,達布（タップ）,,2024,7,30,3,0,20.6,4,0.0,17.0,4.0,,,,,,,0.0,33.1,4,2024,7,18,38.7,8,2021,8,7,36.5,8,2021,7,29,1977,2024-07-30
13277,北海道留萌地方,留萌（ルモイ）,47406.0,2024,7,30,3,0,21.7,4,2.0,55.0,4.0,,,,,,,0.0,29.1,4,2024,7,17,35.6,8,2021,8,1,33.7,8,2018,7,29,1943,2024-07-30
13311,北海道留萌地方,増毛（マシケ）,,2024,7,30,3,0,21.9,4,2.0,21.0,4.0,,,,,,,0.0,30.7,4,2024,7,19,34.2,8,2021,8,1,33.6,8,2000,7,31,1978,2024-07-30
13321,北海道留萌地方,幌糠（ホロヌカ）,,2024,7,30,3,0,21.4,4,2.0,56.0,4.0,,,,,,,0.0,32.3,4,2024,7,18,35.9,8,2021,8,7,35.3,8,2021,7,28,1977,2024-07-30
14026,北海道石狩地方,浜益（ハママス）,,2024,7,30,3,0,21.2,4,1.0,58.0,4.0,,,,,,,0.0,29.9,4,2024,7,16,34.6,8,1989,8,7,33.4,8,2021,7,28,1977,2024-07-30
14071,北海道石狩地方,厚田（アツタ）,,2024,7,30,3,0,21.7,4,2.0,55.0,4.0,,,,,,,0.0,33.5,4,2024,7,21,36.1,8,2021,7,28,36.1,8,2021,7,28,1977,2024-07-30
14101,北海道石狩地方,新篠津（シンシノツ）,,2024,7,30,3,0,21.7,4,1.0,0.0,4.0,,,,,,,0.0,32.5,4,2024,7,18,35.5,8,2023,8,25,35.1,8,2021,7,28,1978,2024-07-30
14116,北海道石狩地方,山口（ヤマグチ）,,2024,7,30,3,0,22.2,4,1.0,6.0,4.0,,,,,,,0.0,34.8,4,2024,7,22,37.1,8,2021,7,28,37.1,8,2021,7,28,1977,2024-07-30
14121,北海道石狩地方,石狩（イシカリ）,,2024,7,30,3,0,22.0,4,0.0,46.0,4.0,,,,,,,0.0,34.3,4,2024,7,21,35.4,8,2021,7,28,35.4,8,2021,7,28,1990,2024-07-30
14136,北海道石狩地方,江別（エベツ）,,2024,7,30,3,0,22.2,4,1.0,17.0,4.0,,,,,,,0.0,32.9,4,2024,7,22,35.6,8,2021,7,31,35.6,8,2021,7,31,2000,2024-07-30
14163,北海道石狩地方,札幌（サッポロ）,47412.0,2024,7,30,3,0,22.9,4,0.0,25.0,4.0,,,,,,,0.0,34.7,4,2024,7,22,36.3,8,2023,8,23,36.0,8,2000,7,31,1876,2024-07-30
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2024,7,30,3,0,22.4,4,0.0,23.0,4.0,,,,,,,0.0,33.6,4,2024,7,22,34.3,8,1999,8,8,34.0,8,2021,7,19,1977,2024-07-30
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2024,7,30,3,0,21.5,4,0.0,7.0,4.0,,,,,,,0.0,30.1,4,2024,7,21,31.9,8,2007,8,14,31.8,8,2021,7,19,1977,2024-07-30
14296,北海道石狩地方,千歳（チトセ）,,2024,7,30,3,0,22.5,4,1.0,1.0,4.0,,,,,,,0.0,32.6,4,2024,7,22,34.2,8,2011,8,11,34.1,8,2021,7,27,2003,2024-07-30
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2024,7,30,3,0,21.0,4,0.0,1.0,4.0,,,,,,,0.0,33.6,4,2024,7,21,36.9,8,2021,8,7,36.5,8,2021,7,27,1976,2024-07-30
15156,北海道空知地方,秩父別（チップベツ）,,2024,7,30,3,0,21.1,4,2.0,57.0,4.0,,,,,,,0.0,33.2,4,2024,7,21,35.1,8,2023,8,24,33.2,8,2024,7,21,2022,2024-07-30
15161,北海道空知地方,深川（フカガワ）,,2024,7,30,3,0,21.4,4,2.0,22.0,4.0,,,,,,,0.0,33.0,4,2024,7,21,36.1,8,2021,8,6,35.8,8,2021,7,28,1977,2024-07-30
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2024,7,30,3,0,21.0,4,0.0,13.0,4.0,,,,,,,0.0,33.6,4,2024,7,21,36.8,8,2021,8,7,36.3,8,2021,7,31,1978,2024-07-30
15241,北海道空知地方,滝川（タキカワ）,,2024,7,30,3,0,21.8,4,0.0,20.0,4.0,,,,,,,0.0,33.5,4,2024,7,21,36.0,8,2021,7,28,36.0,8,2021,7,28,1976,2024-07-30
15251,北海道空知地方,芦別（アシベツ）,,2024,7,30,3,0,21.7,4,0.0,27.0,4.0,,,,,,,0.0,34.6,4,2024,7,21,37.2,8,2021,7,31,37.2,8,2021,7,31,1978,2024-07-30
15311,北海道空知地方,月形（ツキガタ）,,2024,7,30,3,0,21.8,4,2.0,59.0,4.0,,,,,,,0.0,34.0,4,2024,7,21,36.3,8,2021,7,31,36.3,8,2021,7,31,1977,2024-07-30
15321,北海道空知地方,美唄（ビバイ）,,2024,7,30,3,0,22.4,4,0.0,38.0,4.0,,,,,,,0.0,33.5,4,2024,7,21,35.6,8,2021,8,6,35.6,8,2021,7,31,1977,2024-07-30
