,観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),13日の最高気温(℃),13日の最高気温の品質情報,13日の最高気温起時（時）,13日の最高気温起時（分）,13日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（12日まで）,今年の最高気温（12日まで）の品質情報,今年の最高気温（12日まで）を観測した起日（年）,今年の最高気温（12日まで）を観測した起日（月）,今年の最高気温（12日まで）を観測した起日（日）,12日までの観測史上1位の値（℃）,12日までの観測史上1位の値の品質情報,12日までの観測史上1位の値を観測した起日（年）,12日までの観測史上1位の値を観測した起日（月）,12日までの観測史上1位の値を観測した起日（日）,12日までの11月の1位の値,12日までの11月の1位の値の品質情報,12日までの11月の1位の値の起日（年）,12日までの11月の1位の値の起日（月）,12日までの11月の1位の値の起日（日）,統計開始年,date
0,11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,11,13,6,0,2.5,4,0.0,1.0,4.0,,,,,,,0.0,26.1,5,2024,7,20,31.9,8,2000,8,1,17.5,8,2004,11,11,1978,2024-11-13
1,11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2024,11,13,6,0,3.4,4,0.0,24.0,4.0,,,,,,,0.0,27.7,5,2024,7,19,32.7,8,2021,7,29,17.4,8,2003,11,3,1938,2024-11-13
2,11046,北海道宗谷地方,礼文（レブン）,,2024,11,13,6,0,1.9,4,0.0,2.0,4.0,,,,,,,0.0,28.1,5,2024,8,8,30.5,8,2022,7,31,16.1,8,2021,11,9,2003,2024-11-13
3,11061,北海道宗谷地方,声問（コエトイ）,,2024,11,13,6,0,3.2,4,0.0,22.0,4.0,,,,,,,0.0,28.5,5,2024,7,19,33.3,8,2021,7,29,17.2,8,2006,11,9,2003,2024-11-13
4,11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,11,13,6,0,2.9,4,0.0,38.0,4.0,,,,,,,0.0,28.0,5,2024,7,16,32.7,8,2000,7,31,18.3,8,2004,11,11,1978,2024-11-13
5,11091,北海道宗谷地方,本泊（モトドマリ）,,2024,11,13,6,0,3.3,4,0.0,1.0,4.0,,,,,,,0.0,27.6,5,2024,7,19,31.8,8,2021,8,7,18.4,8,2021,11,9,2003,2024-11-13
6,11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,11,13,6,0,1.1,4,1.0,21.0,4.0,,,,,,,0.0,29.7,5,2024,8,7,32.4,8,2021,7,29,17.2,8,2004,11,11,1977,2024-11-13
7,11151,北海道宗谷地方,沓形（クツガタ）,,2024,11,13,6,0,4.1,4,0.0,10.0,4.0,,,,,,,0.0,28.2,5,2024,7,18,32.5,8,1989,8,7,16.7,8,1990,11,1,1977,2024-11-13
8,11176,北海道宗谷地方,豊富（トヨトミ）,,2024,11,13,6,0,2.0,4,0.0,2.0,4.0,,,,,,,0.0,29.8,5,2024,8,7,33.1,8,2000,8,1,17.3,8,2003,11,3,1977,2024-11-13
9,11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,11,13,6,0,1.8,4,1.0,55.0,4.0,,,,,,,0.0,28.5,5,2024,7,21,33.6,4,1989,7,27,19.0,8,2003,11,3,1977,2024-11-13
10,11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2024,11,13,6,0,1.3,4,0.0,32.0,4.0,,,,,,,0.0,31.1,5,2024,7,19,35.8,8,2021,8,7,19.7,8,2003,11,3,1977,2024-11-13
11,11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2024,11,13,6,0,2.1,4,0.0,9.0,4.0,,,,,,,0.0,31.9,5,2024,7,21,35.0,8,2000,7,31,21.1,8,2003,11,3,1942,2024-11-13
12,11316,北海道宗谷地方,歌登（ウタノボリ）,,2024,11,13,6,0,1.1,4,0.0,5.0,4.0,,,,,,,0.0,31.4,5,2024,7,21,35.4,8,1989,7,26,20.2,8,2003,11,3,1977,2024-11-13
13,12011,北海道上川地方,中川（ナカガワ）,,2024,11,13,6,0,0.9,4,1.0,38.0,4.0,,,,,,,0.0,32.1,5,2024,8,12,36.2,8,2021,7,28,18.7,8,2003,11,3,1977,2024-11-13
14,12041,北海道上川地方,音威子府（オトイネップ）,,2024,11,13,6,0,1.2,4,1.0,45.0,4.0,,,,,,,0.0,32.5,5,2024,8,7,36.6,8,2021,7,28,19.2,8,2003,11,3,1977,2024-11-13
15,12141,北海道上川地方,美深（ビフカ）,,2024,11,13,6,0,1.2,4,1.0,4.0,4.0,,,,,,,0.0,33.2,5,2024,8,13,36.6,8,2021,7,28,21.1,8,2003,11,3,1977,2024-11-13
16,12181,北海道上川地方,名寄（ナヨロ）,,2024,11,13,6,0,0.9,4,2.0,31.0,4.0,,,,,,,0.0,34.1,5,2024,8,13,36.4,8,2021,7,28,20.2,8,2003,11,3,1976,2024-11-13
17,12231,北海道上川地方,下川（シモカワ）,,2024,11,13,6,0,0.7,4,1.0,22.0,4.0,,,,,,,0.0,33.8,5,2024,8,13,37.3,8,2021,7,28,19.8,8,2003,11,3,1977,2024-11-13
18,12261,北海道上川地方,士別（シベツ）,,2024,11,13,6,0,1.2,4,1.0,26.0,4.0,,,,,,,0.0,34.1,5,2024,8,7,37.0,8,2021,8,7,19.9,8,2003,11,3,1977,2024-11-13
19,12266,北海道上川地方,朝日（アサヒ）,,2024,11,13,6,0,0.9,4,1.0,23.0,4.0,,,,,,,0.0,34.4,5,2024,8,13,37.2,8,2021,8,7,20.3,8,2003,11,3,1977,2024-11-13
20,12301,北海道上川地方,和寒（ワッサム）,,2024,11,13,6,0,1.8,4,0.0,9.0,4.0,,,,,,,0.0,35.7,5,2024,8,13,36.8,8,2021,8,7,20.1,8,2003,11,3,1977,2024-11-13
21,12386,北海道上川地方,江丹別（エタンベツ）,,2024,11,13,6,0,1.1,4,1.0,4.0,4.0,,,,,,,0.0,34.8,5,2024,8,12,38.4,8,2021,7,31,19.7,8,2003,11,3,1977,2024-11-13
22,12396,北海道上川地方,比布（ピップ）,,2024,11,13,6,0,1.5,4,0.0,16.0,4.0,,,,,,,0.0,36.1,5,2024,8,13,36.9,8,2021,8,7,20.8,8,2003,11,3,1977,2024-11-13
23,12411,北海道上川地方,上川（カミカワ）,,2024,11,13,6,0,0.8,4,0.0,3.0,4.0,,,,,,,0.0,32.7,5,2024,8,13,35.1,8,2021,8,7,19.2,8,2003,11,3,1977,2024-11-13
24,12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2024,11,13,6,0,2.8,4,0.0,11.0,4.0,,,,,,,0.0,35.2,5,2024,8,13,37.9,8,2021,8,7,22.0,8,1920,11,3,1888,2024-11-13
25,12451,北海道上川地方,東川（ヒガシカワ）,,2024,11,13,6,0,2.2,4,0.0,7.0,4.0,,,,,,,0.0,36.3,5,2024,8,13,37.0,8,2021,8,6,20.7,8,2003,11,3,1977,2024-11-13
26,12501,北海道上川地方,東神楽（ヒガシカグラ）,,2024,11,13,6,0,1.7,4,0.0,5.0,4.0,,,,,,,0.0,33.9,5,2024,8,13,36.1,8,2021,8,7,20.5,8,2003,11,3,2003,2024-11-13
27,12512,北海道上川地方,志比内（シビナイ）,,2024,11,13,6,0,,1,,,,,,,,,,,34.6,5,2024,8,13,35.3,8,2021,8,7,19.6,8,2003,11,3,1993,2024-11-13
28,12551,北海道上川地方,美瑛（ビエイ）,,2024,11,13,6,0,1.3,4,0.0,8.0,4.0,,,,,,,0.0,34.9,5,2024,8,13,37.1,8,2021,8,7,20.2,8,2003,11,3,1977,2024-11-13
29,12596,北海道上川地方,上富良野（カミフラノ）,,2024,11,13,6,0,2.9,4,0.0,4.0,4.0,,,,,,,0.0,35.7,5,2024,7,21,37.5,8,2021,8,7,20.9,8,2003,11,3,1977,2024-11-13
30,12626,北海道上川地方,富良野（フラノ）,,2024,11,13,6,0,3.2,4,0.0,18.0,4.0,,,,,,,0.0,35.4,5,2024,7,21,38.5,8,2021,8,7,20.6,8,2023,11,3,1976,2024-11-13
31,12632,北海道上川地方,麓郷（ロクゴウ）,,2024,11,13,6,0,1.7,4,0.0,1.0,4.0,,,,,,,0.0,34.6,5,2024,7,21,37.4,8,2021,8,7,19.4,8,2003,11,3,1978,2024-11-13
32,12691,北海道上川地方,幾寅（イクトラ）,,2024,11,13,6,0,2.2,4,0.0,2.0,4.0,,,,,,,0.0,34.0,5,2024,7,21,34.9,8,2023,8,24,19.1,8,2003,11,3,1977,2024-11-13
33,12746,北海道上川地方,占冠（シムカップ）,,2024,11,13,6,0,1.9,4,0.0,25.0,4.0,,,,,,,0.0,32.8,5,2024,7,21,34.6,8,2021,7,19,17.9,8,2023,11,3,1977,2024-11-13
34,15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,11,13,6,0,0.1,4,0.0,34.0,4.0,,,,,,,0.0,34.3,5,2024,8,13,34.9,8,2021,7,28,18.3,8,2003,11,3,1978,2024-11-13
35,15076,北海道上川地方,幌加内（ホロカナイ）,,2024,11,13,6,0,1.3,4,0.0,44.0,4.0,,,,,,,0.0,34.9,5,2024,8,12,37.3,8,2021,7,28,18.9,8,2003,11,3,1977,2024-11-13
36,13061,北海道留萌地方,天塩（テシオ）,,2024,11,13,6,0,1.6,4,0.0,6.0,4.0,,,,,,,0.0,31.4,5,2024,8,12,33.8,4,2021,7,27,17.2,8,2023,11,6,1977,2024-11-13
