観測所番号,prec_no,国際地点番号,都道府県,name,地点,pref,capitol
11001,11,,北海道宗谷地方,宗谷岬,宗谷岬（ソウヤミサキ）,北海道,
11016,11,47401.0,北海道宗谷地方,稚内,稚内（ワッカナイ）,北海道,
11046,11,,北海道宗谷地方,礼文,礼文（レブン）,北海道,
11061,11,,北海道宗谷地方,声問,声問（コエトイ）,北海道,
11076,11,,北海道宗谷地方,浜鬼志別,浜鬼志別（ハマオニシベツ）,北海道,
11091,11,,北海道宗谷地方,本泊,本泊（モトドマリ）,北海道,
11121,11,,北海道宗谷地方,沼川,沼川（ヌマカワ）,北海道,
11151,11,,北海道宗谷地方,沓形,沓形（クツガタ）,北海道,
11176,11,,北海道宗谷地方,豊富,豊富（トヨトミ）,北海道,
11206,11,,北海道宗谷地方,浜頓別,浜頓別（ハマトンベツ）,北海道,
11276,11,,北海道宗谷地方,中頓別,中頓別（ナカトンベツ）,北海道,
11291,11,47402.0,北海道宗谷地方,北見枝幸,北見枝幸（キタミエサシ）,北海道,
11316,11,,北海道宗谷地方,歌登,歌登（ウタノボリ）,北海道,
12011,12,,北海道上川地方,中川,中川（ナカガワ）,北海道,
12041,12,,北海道上川地方,音威子府,音威子府（オトイネップ）,北海道,
12141,12,,北海道上川地方,美深,美深（ビフカ）,北海道,
12181,12,,北海道上川地方,名寄,名寄（ナヨロ）,北海道,
12231,12,,北海道上川地方,下川,下川（シモカワ）,北海道,
12261,12,,北海道上川地方,士別,士別（シベツ）,北海道,
12266,12,,北海道上川地方,朝日,朝日（アサヒ）,北海道,
12301,12,,北海道上川地方,和寒,和寒（ワッサム）,北海道,
12386,12,,北海道上川地方,江丹別,江丹別（エタンベツ）,北海道,
12396,12,,北海道上川地方,比布,比布（ピップ）,北海道,
12411,12,,北海道上川地方,上川,上川（カミカワ）,北海道,
12442,12,47407.0,北海道上川地方,旭川,旭川（アサヒカワ）,北海道,
12451,12,,北海道上川地方,東川,東川（ヒガシカワ）,北海道,
12501,12,,北海道上川地方,東神楽,東神楽（ヒガシカグラ）,北海道,
12512,12,,北海道上川地方,志比内,志比内（シビナイ）,北海道,
12551,12,,北海道上川地方,美瑛,美瑛（ビエイ）,北海道,
12596,12,,北海道上川地方,上富良野,上富良野（カミフラノ）,北海道,
12626,12,,北海道上川地方,富良野,富良野（フラノ）,北海道,
12632,12,,北海道上川地方,麓郷,麓郷（ロクゴウ）,北海道,
12691,12,,北海道上川地方,幾寅,幾寅（イクトラ）,北海道,
12746,12,,北海道上川地方,占冠,占冠（シムカップ）,北海道,
15041,12,,北海道上川地方,朱鞠内,朱鞠内（シュマリナイ）,北海道,
15076,12,,北海道上川地方,幌加内,幌加内（ホロカナイ）,北海道,
13061,13,,北海道留萌地方,天塩,天塩（テシオ）,北海道,
13086,13,,北海道留萌地方,遠別,遠別（エンベツ）,北海道,
13121,13,,北海道留萌地方,初山別,初山別（ショサンベツ）,北海道,
13146,13,,北海道留萌地方,焼尻,焼尻（ヤギシリ）,北海道,
13181,13,47404.0,北海道留萌地方,羽幌,羽幌（ハボロ）,北海道,
13261,13,,北海道留萌地方,達布,達布（タップ）,北海道,
13277,13,47406.0,北海道留萌地方,留萌,留萌（ルモイ）,北海道,
13311,13,,北海道留萌地方,増毛,増毛（マシケ）,北海道,
13321,13,,北海道留萌地方,幌糠,幌糠（ホロヌカ）,北海道,
14026,14,,北海道石狩地方,浜益,浜益（ハママス）,北海道,
14071,14,,北海道石狩地方,厚田,厚田（アツタ）,北海道,
14101,14,,北海道石狩地方,新篠津,新篠津（シンシノツ）,北海道,
14116,14,,北海道石狩地方,山口,山口（ヤマグチ）,北海道,
14121,14,,北海道石狩地方,石狩,石狩（イシカリ）,北海道,
14136,14,,北海道石狩地方,江別,江別（エベツ）,北海道,
14163,14,47412.0,北海道石狩地方,札幌,札幌（サッポロ）,北海道,1.0
14206,14,,北海道石狩地方,恵庭島松,恵庭島松（エニワシママツ）,北海道,
14286,14,,北海道石狩地方,支笏湖畔,支笏湖畔（シコツコハン）,北海道,
14296,14,,北海道石狩地方,千歳,千歳（チトセ）,北海道,
15116,15,,北海道空知地方,石狩沼田,石狩沼田（イシカリヌマタ）,北海道,
