name,date,maxtemp,prec_no,points_no
美深,2020-01-01,-6.0,12,12141
美深,2020-01-02,-4.7,12,12141
美深,2020-01-03,-3.6,12,12141
美深,2020-01-04,-6.3,12,12141
美深,2020-01-05,-6.3,12,12141
美深,2020-01-06,-1.9,12,12141
美深,2020-01-07,-0.6,12,12141
美深,2020-01-08,-6.7,12,12141
美深,2020-01-09,-2.7,12,12141
美深,2020-01-10,-7.4,12,12141
美深,2020-01-11,-1.5,12,12141
美深,2020-01-12,-0.9,12,12141
美深,2020-01-13,-3.3,12,12141
美深,2020-01-14,-3.4,12,12141
美深,2020-01-15,-3.9,12,12141
美深,2020-01-16,-3.9,12,12141
美深,2020-01-17,-3.6,12,12141
美深,2020-01-18,-3.3,12,12141
美深,2020-01-19,-6.4,12,12141
美深,2020-01-20,-5.1,12,12141
美深,2020-01-21,-4.4,12,12141
美深,2020-01-22,1.0,12,12141
美深,2020-01-23,-0.7,12,12141
美深,2020-01-24,-3.7,12,12141
美深,2020-01-25,-7.7,12,12141
美深,2020-01-26,-5.3,12,12141
美深,2020-01-27,-2.1,12,12141
美深,2020-01-28,-5.5,12,12141
美深,2020-01-29,-4.2,12,12141
美深,2020-01-30,0.3,12,12141
美深,2020-01-31,-1.1,12,12141
名寄,2020-01-01,-6.4,12,12181
名寄,2020-01-02,-4.8,12,12181
名寄,2020-01-03,-3.5,12,12181
名寄,2020-01-04,-6.0,12,12181
名寄,2020-01-05,-6.0,12,12181
名寄,2020-01-06,-2.0,12,12181
名寄,2020-01-07,-0.6,12,12181
名寄,2020-01-08,-7.3,12,12181
名寄,2020-01-09,-2.7,12,12181
名寄,2020-01-10,-5.7,12,12181
名寄,2020-01-11,-1.1,12,12181
名寄,2020-01-12,-0.4,12,12181
名寄,2020-01-13,-3.6,12,12181
名寄,2020-01-14,-2.8,12,12181
名寄,2020-01-15,-3.3,12,12181
名寄,2020-01-16,-2.9,12,12181
名寄,2020-01-17,-2.2,12,12181
名寄,2020-01-18,-3.2,12,12181
名寄,2020-01-19,-7.4,12,12181
名寄,2020-01-20,-4.5,12,12181
名寄,2020-01-21,-4.1,12,12181
名寄,2020-01-22,-0.8,12,12181
名寄,2020-01-23,1.1,12,12181
名寄,2020-01-24,-2.3,12,12181
名寄,2020-01-25,-7.2,12,12181
名寄,2020-01-26,-5.8,12,12181
名寄,2020-01-27,-2.0,12,12181
名寄,2020-01-28,-8.5,12,12181
名寄,2020-01-29,-4.9,12,12181
名寄,2020-01-30,1.3,12,12181
名寄,2020-01-31,-0.6,12,12181
下川,2020-01-01,-6.8,12,12231
下川,2020-01-02,-5.3,12,12231
下川,2020-01-03,-4.1,12,12231
下川,2020-01-04,-6.0,12,12231
下川,2020-01-05,-5.5,12,12231
下川,2020-01-06,-2.4,12,12231
下川,2020-01-07,-1.3,12,12231
下川,2020-01-08,-3.7,12,12231
下川,2020-01-09,-2.8,12,12231
下川,2020-01-10,-4.9,12,12231
下川,2020-01-11,-0.7,12,12231
下川,2020-01-12,-0.3,12,12231
下川,2020-01-13,-3.4,12,12231
下川,2020-01-14,-3.5,12,12231
下川,2020-01-15,-4.2,12,12231
下川,2020-01-16,-3.8,12,12231
下川,2020-01-17,-3.1,12,12231
下川,2020-01-18,-3.2,12,12231
下川,2020-01-19,-4.8,12,12231
下川,2020-01-20,-4.0,12,12231
下川,2020-01-21,-4.1,12,12231
下川,2020-01-22,0.3,12,12231
下川,2020-01-23,-0.3,12,12231
下川,2020-01-24,-3.2,12,12231
下川,2020-01-25,-7.6,12,12231
下川,2020-01-26,-5.5,12,12231
下川,2020-01-27,-3.1,12,12231
下川,2020-01-28,-4.0,12,12231
下川,2020-01-29,-3.9,12,12231
下川,2020-01-30,-0.7,12,12231
下川,2020-01-31,-1.4,12,12231
士別,2020-01-01,-6.6,12,12261
士別,2020-01-02,-5.6,12,12261
士別,2020-01-03,-3.0,12,12261
士別,2020-01-04,-5.6,12,12261
士別,2020-01-05,-4.9,12,12261
士別,2020-01-06,-2.4,12,12261
士別,2020-01-07,-1.8,12,12261
