year,pref,sort_n,over30_capitol,over30_capitol_roy,over30_capitol_ytd,over35_capitol,over35_capitol_roy,over35_capitol_ytd,temp
2000,東京都,1,67,19,48,,,,真夏日
2000,東京都,1,,,,1,1,0,猛暑日
2000,北海道,24,10,2,8,,,,真夏日
2000,北海道,24,,,,2,0,2,猛暑日
2000,青森県,31,17,5,12,,,,真夏日
2000,青森県,31,,,,0,0,0,猛暑日
2000,秋田県,32,40,12,28,,,,真夏日
2000,秋田県,32,,,,4,0,4,猛暑日
2000,岩手県,33,34,8,26,,,,真夏日
2000,岩手県,33,,,,1,0,1,猛暑日
2000,宮城県,34,30,9,21,,,,真夏日
2000,宮城県,34,,,,0,0,0,猛暑日
2000,山形県,35,64,14,50,,,,真夏日
2000,山形県,35,,,,6,0,6,猛暑日
2000,福島県,36,64,15,49,,,,真夏日
2000,福島県,36,,,,8,1,7,猛暑日
2000,茨城県,40,49,14,35,,,,真夏日
2000,茨城県,40,,,,2,1,1,猛暑日
2000,栃木県,41,63,15,48,,,,真夏日
2000,栃木県,41,,,,2,1,1,猛暑日
2000,群馬県,42,67,16,51,,,,真夏日
2000,群馬県,42,,,,11,1,10,猛暑日
2000,埼玉県,43,61,15,46,,,,真夏日
2000,埼玉県,43,,,,3,1,2,猛暑日
2000,千葉県,45,60,19,41,,,,真夏日
2000,千葉県,45,,,,0,0,0,猛暑日
2000,神奈川県,46,54,14,40,,,,真夏日
2000,神奈川県,46,,,,1,1,0,猛暑日
2000,長野県,48,67,18,49,,,,真夏日
2000,長野県,48,,,,5,1,4,猛暑日
2000,山梨県,49,83,20,63,,,,真夏日
2000,山梨県,49,,,,10,1,9,猛暑日
2000,静岡県,50,53,17,36,,,,真夏日
2000,静岡県,50,,,,3,1,2,猛暑日
2000,愛知県,51,79,23,56,,,,真夏日
2000,愛知県,51,,,,25,7,18,猛暑日
2000,岐阜県,52,83,24,59,,,,真夏日
2000,岐阜県,52,,,,31,7,24,猛暑日
2000,三重県,53,63,16,47,,,,真夏日
2000,三重県,53,,,,6,1,5,猛暑日
2000,新潟県,54,55,16,39,,,,真夏日
2000,新潟県,54,,,,7,3,4,猛暑日
2000,富山県,55,63,17,46,,,,真夏日
2000,富山県,55,,,,13,3,10,猛暑日
2000,石川県,56,55,16,39,,,,真夏日
2000,石川県,56,,,,7,1,6,猛暑日
2000,福井県,57,70,19,51,,,,真夏日
2000,福井県,57,,,,10,5,5,猛暑日
2000,滋賀県,60,72,22,50,,,,真夏日
2000,滋賀県,60,,,,4,0,4,猛暑日
2000,京都府,61,88,24,64,,,,真夏日
2000,京都府,61,,,,27,7,20,猛暑日
2000,大阪府,62,85,26,59,,,,真夏日
2000,大阪府,62,,,,26,7,19,猛暑日
2000,兵庫県,63,79,25,54,,,,真夏日
2000,兵庫県,63,,,,8,2,6,猛暑日
2000,奈良県,64,78,22,56,,,,真夏日
2000,奈良県,64,,,,19,5,14,猛暑日
2000,和歌山県,65,78,25,53,,,,真夏日
2000,和歌山県,65,,,,8,2,6,猛暑日
2000,岡山県,66,82,23,59,,,,真夏日
2000,岡山県,66,,,,23,4,19,猛暑日
2000,広島県,67,72,22,50,,,,真夏日
2000,広島県,67,,,,6,3,3,猛暑日
2000,島根県,68,67,18,49,,,,真夏日
2000,島根県,68,,,,9,5,4,猛暑日
2000,鳥取県,69,76,21,55,,,,真夏日
2000,鳥取県,69,,,,14,8,6,猛暑日
2000,徳島県,71,72,23,49,,,,真夏日
2000,徳島県,71,,,,5,0,5,猛暑日
2000,香川県,72,85,23,62,,,,真夏日
2000,香川県,72,,,,15,4,11,猛暑日
2000,愛媛県,73,75,22,53,,,,真夏日
2000,愛媛県,73,,,,7,3,4,猛暑日
2000,高知県,74,74,24,50,,,,真夏日
2000,高知県,74,,,,4,0,4,猛暑日
2000,山口県,81,75,20,55,,,,真夏日
2000,山口県,81,,,,4,0,4,猛暑日
2000,福岡県,82,68,18,50,,,,真夏日
2000,福岡県,82,,,,5,1,4,猛暑日
2000,大分県,83,70,20,50,,,,真夏日
2000,大分県,83,,,,5,1,4,猛暑日
2000,長崎県,84,59,20,39,,,,真夏日
2000,長崎県,84,,,,5,2,3,猛暑日
2000,佐賀県,85,78,22,56,,,,真夏日
2000,佐賀県,85,,,,13,2,11,猛暑日
