date,year,date_x_axis,date_jp,category,heat_points
2012-05-01,2012,2000-05-01,2012年5月1日,over35,0.0
2012-05-02,2012,2000-05-02,2012年5月2日,over35,0.0
2012-05-03,2012,2000-05-03,2012年5月3日,over35,0.0
2012-05-04,2012,2000-05-04,2012年5月4日,over35,0.0
2012-05-05,2012,2000-05-05,2012年5月5日,over35,0.0
2012-05-06,2012,2000-05-06,2012年5月6日,over35,0.0
2012-05-07,2012,2000-05-07,2012年5月7日,over35,0.0
2012-05-08,2012,2000-05-08,2012年5月8日,over35,0.0
2012-05-09,2012,2000-05-09,2012年5月9日,over35,0.0
2012-05-10,2012,2000-05-10,2012年5月10日,over35,0.0
2012-05-11,2012,2000-05-11,2012年5月11日,over35,0.0
2012-05-12,2012,2000-05-12,2012年5月12日,over35,0.0
2012-05-13,2012,2000-05-13,2012年5月13日,over35,0.0
2012-05-14,2012,2000-05-14,2012年5月14日,over35,0.0
2012-05-15,2012,2000-05-15,2012年5月15日,over35,0.0
2012-05-16,2012,2000-05-16,2012年5月16日,over35,0.0
2012-05-17,2012,2000-05-17,2012年5月17日,over35,0.0
2012-05-18,2012,2000-05-18,2012年5月18日,over35,0.0
2012-05-19,2012,2000-05-19,2012年5月19日,over35,0.0
2012-05-20,2012,2000-05-20,2012年5月20日,over35,0.0
2012-05-21,2012,2000-05-21,2012年5月21日,over35,0.0
2012-05-22,2012,2000-05-22,2012年5月22日,over35,0.0
2012-05-23,2012,2000-05-23,2012年5月23日,over35,0.0
2012-05-24,2012,2000-05-24,2012年5月24日,over35,0.0
2012-05-25,2012,2000-05-25,2012年5月25日,over35,0.0
2012-05-26,2012,2000-05-26,2012年5月26日,over35,0.0
2012-05-27,2012,2000-05-27,2012年5月27日,over35,0.0
2012-05-28,2012,2000-05-28,2012年5月28日,over35,0.0
2012-05-29,2012,2000-05-29,2012年5月29日,over35,0.0
2012-05-30,2012,2000-05-30,2012年5月30日,over35,0.0
2012-05-31,2012,2000-05-31,2012年5月31日,over35,0.0
2012-06-01,2012,2000-06-01,2012年6月1日,over35,0.0
2012-06-02,2012,2000-06-02,2012年6月2日,over35,0.0
2012-06-03,2012,2000-06-03,2012年6月3日,over35,0.0
2012-06-04,2012,2000-06-04,2012年6月4日,over35,0.0
2012-06-05,2012,2000-06-05,2012年6月5日,over35,0.0
2012-06-06,2012,2000-06-06,2012年6月6日,over35,0.0
2012-06-07,2012,2000-06-07,2012年6月7日,over35,0.0
2012-06-08,2012,2000-06-08,2012年6月8日,over35,0.0
2012-06-09,2012,2000-06-09,2012年6月9日,over35,0.0
2012-06-10,2012,2000-06-10,2012年6月10日,over35,0.0
2012-06-11,2012,2000-06-11,2012年6月11日,over35,0.0
2012-06-12,2012,2000-06-12,2012年6月12日,over35,0.0
