date,over30,over35,over40,total,null_values
2012-05-01 00:00:00,5.0,,,,
2012-05-02 00:00:00,10.0,,,,
2012-05-03 00:00:00,,,,,
2012-05-04 00:00:00,,,,,
2012-05-05 00:00:00,13.0,,,,
2012-05-06 00:00:00,6.0,,,,
2012-05-07 00:00:00,3.0,,,,
2012-05-08 00:00:00,3.0,,,,
2012-05-09 00:00:00,9.0,,,,
2012-05-10 00:00:00,1.0,,,,
2012-05-11 00:00:00,,,,,
2012-05-12 00:00:00,,,,,
2012-05-13 00:00:00,,,,,
2012-05-14 00:00:00,11.0,,,,
2012-05-15 00:00:00,13.0,,,,
2012-05-16 00:00:00,2.0,,,,
2012-05-17 00:00:00,,,,,
2012-05-18 00:00:00,,,,,
2012-05-19 00:00:00,,,,,
2012-05-20 00:00:00,,,,,
2012-05-21 00:00:00,,,,,
2012-05-22 00:00:00,1.0,,,,
2012-05-23 00:00:00,,,,,
2012-05-24 00:00:00,1.0,,,,
2012-05-25 00:00:00,2.0,,,,
2012-05-26 00:00:00,1.0,,,,
2012-05-27 00:00:00,12.0,,,,
2012-05-28 00:00:00,25.0,,,,
2012-05-29 00:00:00,26.0,,,,
2012-05-30 00:00:00,,,,,
2012-05-31 00:00:00,5.0,,,,
2012-06-01 00:00:00,3.0,,,,
2012-06-02 00:00:00,8.0,,,,
2012-06-03 00:00:00,7.0,,,,
2012-06-04 00:00:00,8.0,,,,
2012-06-05 00:00:00,7.0,,,,
2012-06-06 00:00:00,39.0,,,,
2012-06-07 00:00:00,37.0,,,,
2012-06-08 00:00:00,38.0,,,,
2012-06-09 00:00:00,25.0,,,,
2012-06-10 00:00:00,35.0,,,,
2012-06-11 00:00:00,9.0,,,,
2012-06-12 00:00:00,1.0,,,,
2012-06-13 00:00:00,22.0,,,,
2012-06-14 00:00:00,71.0,,,,
2012-06-15 00:00:00,13.0,,,,
2012-06-16 00:00:00,26.0,,,,
2012-06-17 00:00:00,49.0,,,,
2012-06-18 00:00:00,60.0,,,,
2012-06-19 00:00:00,10.0,,,,
2012-06-20 00:00:00,51.0,,,,
2012-06-21 00:00:00,1.0,,,,
2012-06-22 00:00:00,39.0,,,,
2012-06-23 00:00:00,21.0,,,,
2012-06-24 00:00:00,27.0,,,,
2012-06-25 00:00:00,31.0,,,,
2012-06-26 00:00:00,37.0,,,,
2012-06-27 00:00:00,61.0,,,,
2012-06-28 00:00:00,81.0,,,,
2012-06-29 00:00:00,169.0,,,,
2012-06-30 00:00:00,176.0,,,,
2012-07-01 00:00:00,140.0,,,,
2012-07-02 00:00:00,130.0,,,,
2012-07-03 00:00:00,45.0,,,,
2012-07-04 00:00:00,221.0,,,,
2012-07-05 00:00:00,144.0,,,,
2012-07-06 00:00:00,171.0,,,,
2012-07-07 00:00:00,66.0,,,,
2012-07-08 00:00:00,73.0,1.0,,,
2012-07-09 00:00:00,156.0,,,,
2012-07-10 00:00:00,303.0,,,,
2012-07-11 00:00:00,234.0,1.0,,,
2012-07-12 00:00:00,176.0,,,,
2012-07-13 00:00:00,183.0,,,,
2012-07-14 00:00:00,234.0,,,,
2012-07-15 00:00:00,436.0,15.0,,,
2012-07-16 00:00:00,570.0,60.0,,,
2012-07-17 00:00:00,516.0,75.0,,,
2012-07-18 00:00:00,523.0,77.0,,,
2012-07-19 00:00:00,449.0,53.0,,,
2012-07-20 00:00:00,199.0,,,,
2012-07-21 00:00:00,195.0,,,,
2012-07-22 00:00:00,250.0,,,,
2012-07-23 00:00:00,377.0,,,,
2012-07-24 00:00:00,472.0,5.0,,,
2012-07-25 00:00:00,499.0,12.0,,,
2012-07-26 00:00:00,682.0,111.0,,,
2012-07-27 00:00:00,744.0,123.0,,,
2012-07-28 00:00:00,784.0,137.0,,,
2012-07-29 00:00:00,744.0,74.0,,,
2012-07-30 00:00:00,773.0,89.0,,,
2012-07-31 00:00:00,759.0,170.0,,,
2012-08-01 00:00:00,589.0,75.0,,,
2012-08-02 00:00:00,646.0,126.0,,,
2012-08-03 00:00:00,625.0,115.0,,,
2012-08-04 00:00:00,579.0,83.0,,,
2012-08-05 00:00:00,621.0,104.0,,,
2012-08-06 00:00:00,490.0,52.0,,,
2012-08-07 00:00:00,504.0,73.0,,,
2012-08-08 00:00:00,381.0,8.0,,,
2012-08-09 00:00:00,379.0,3.0,,,
2012-08-10 00:00:00,520.0,17.0,,,
2012-08-11 00:00:00,383.0,2.0,,,
2012-08-12 00:00:00,565.0,2.0,,,
2012-08-13 00:00:00,502.0,31.0,,,
2012-08-14 00:00:00,210.0,,,,
2012-08-15 00:00:00,521.0,28.0,,,
2012-08-16 00:00:00,660.0,81.0,,,
2012-08-17 00:00:00,654.0,106.0,,,
2012-08-18 00:00:00,594.0,28.0,,,
2012-08-19 00:00:00,686.0,22.0,,,
2012-08-20 00:00:00,696.0,31.0,,,
2012-08-21 00:00:00,731.0,60.0,,,
2012-08-22 00:00:00,762.0,81.0,,,
2012-08-23 00:00:00,670.0,68.0,,,
2012-08-24 00:00:00,652.0,35.0,,,
2012-08-25 00:00:00,652.0,64.0,,,
2012-08-26 00:00:00,625.0,62.0,,,
2012-08-27 00:00:00,624.0,66.0,,,
2012-08-28 00:00:00,539.0,37.0,,,
2012-08-29 00:00:00,588.0,23.0,,,
2012-08-30 00:00:00,739.0,45.0,,,
2012-08-31 00:00:00,604.0,46.0,,,
2012-09-01 00:00:00,461.0,12.0,,,
2012-09-02 00:00:00,465.0,1.0,,,
2012-09-03 00:00:00,477.0,,,,
2012-09-04 00:00:00,537.0,,,,
2012-09-05 00:00:00,509.0,3.0,,,
2012-09-06 00:00:00,300.0,,,,
2012-09-07 00:00:00,475.0,1.0,,,
2012-09-08 00:00:00,407.0,2.0,,,
2012-09-09 00:00:00,444.0,1.0,,,
2012-09-10 00:00:00,426.0,1.0,,,
2012-09-11 00:00:00,272.0,,,,
2012-09-12 00:00:00,341.0,,,,
2012-09-13 00:00:00,525.0,3.0,,,
2012-09-14 00:00:00,550.0,4.0,,,
2012-09-15 00:00:00,486.0,3.0,,,
2012-09-16 00:00:00,405.0,1.0,,,
2012-09-17 00:00:00,405.0,38.0,,,
2012-09-18 00:00:00,358.0,28.0,,,
2012-09-19 00:00:00,80.0,,,,
2012-09-20 00:00:00,73.0,,,,
2012-09-21 00:00:00,21.0,,,,
2012-09-22 00:00:00,28.0,,,,
2012-09-23 00:00:00,18.0,,,,
2012-09-24 00:00:00,10.0,,,,
2012-09-25 00:00:00,31.0,,,,
2012-09-26 00:00:00,26.0,,,,
2012-09-27 00:00:00,15.0,,,,
2012-09-28 00:00:00,48.0,,,,
2012-09-29 00:00:00,13.0,,,,
2012-09-30 00:00:00,14.0,,,,
2012-10-01 00:00:00,51.0,,,,
2012-10-02 00:00:00,3.0,,,,
2012-10-03 00:00:00,3.0,,,,
2012-10-04 00:00:00,22.0,,,,
2012-10-05 00:00:00,2.0,,,,
2012-10-06 00:00:00,,,,,
2012-10-07 00:00:00,,,,,
2012-10-08 00:00:00,,,,,
2012-10-09 00:00:00,,,,,
2012-10-10 00:00:00,,,,,
2012-10-11 00:00:00,,,,,
2012-10-12 00:00:00,,,,,
2012-10-13 00:00:00,,,,,
2012-10-14 00:00:00,,,,,
2012-10-15 00:00:00,2.0,,,,
2012-10-16 00:00:00,,,,,
2012-10-17 00:00:00,,,,,
2012-10-18 00:00:00,,,,,
2012-10-19 00:00:00,,,,,
2012-10-20 00:00:00,,,,,
2012-10-21 00:00:00,,,,,
2012-10-22 00:00:00,,,,,
2012-10-23 00:00:00,,,,,
2012-10-24 00:00:00,,,,,
2012-10-25 00:00:00,,,,,
2012-10-26 00:00:00,,,,,
2012-10-27 00:00:00,,,,,
2012-10-28 00:00:00,,,,,
2012-10-29 00:00:00,,,,,
2012-10-30 00:00:00,,,,,
2012-10-31 00:00:00,,,,,
2013-05-01 00:00:00,,,,,
2013-05-02 00:00:00,,,,,
2013-05-03 00:00:00,,,,,
2013-05-04 00:00:00,,,,,
2013-05-05 00:00:00,,,,,
2013-05-06 00:00:00,1.0,,,,
2013-05-07 00:00:00,,,,,
2013-05-08 00:00:00,,,,,
2013-05-09 00:00:00,27.0,,,,
2013-05-10 00:00:00,3.0,,,,
2013-05-11 00:00:00,,,,,
2013-05-12 00:00:00,1.0,,,,
2013-05-13 00:00:00,58.0,,,,
2013-05-14 00:00:00,112.0,,,,
2013-05-15 00:00:00,4.0,,,,
2013-05-16 00:00:00,4.0,,,,
2013-05-17 00:00:00,1.0,,,,
2013-05-18 00:00:00,7.0,,,,
2013-05-19 00:00:00,5.0,,,,
2013-05-20 00:00:00,8.0,,,,
2013-05-21 00:00:00,43.0,,,,
2013-05-22 00:00:00,105.0,,,,
2013-05-23 00:00:00,90.0,,,,
2013-05-24 00:00:00,105.0,1.0,,,
2013-05-25 00:00:00,57.0,,,,
2013-05-26 00:00:00,47.0,,,,
2013-05-27 00:00:00,59.0,,,,
2013-05-28 00:00:00,52.0,,,,
2013-05-29 00:00:00,41.0,,,,
2013-05-30 00:00:00,24.0,,,,
2013-05-31 00:00:00,20.0,,,,
2013-06-01 00:00:00,26.0,,,,
2013-06-02 00:00:00,21.0,,,,
2013-06-03 00:00:00,24.0,,,,
2013-06-04 00:00:00,113.0,,,,
2013-06-05 00:00:00,53.0,,,,
2013-06-06 00:00:00,13.0,,,,
2013-06-07 00:00:00,56.0,,,,
2013-06-08 00:00:00,28.0,,,,
2013-06-09 00:00:00,54.0,,,,
2013-06-10 00:00:00,64.0,,,,
2013-06-11 00:00:00,134.0,,,,
2013-06-12 00:00:00,312.0,3.0,,,
2013-06-13 00:00:00,337.0,33.0,,,
2013-06-14 00:00:00,346.0,16.0,,,
2013-06-15 00:00:00,59.0,,,,
2013-06-16 00:00:00,186.0,1.0,,,
2013-06-17 00:00:00,305.0,,,,
2013-06-18 00:00:00,228.0,,,,
2013-06-19 00:00:00,96.0,1.0,,,
2013-06-20 00:00:00,52.0,,,,
2013-06-21 00:00:00,35.0,,,,
2013-06-22 00:00:00,32.0,,,,
2013-06-23 00:00:00,35.0,,,,
2013-06-24 00:00:00,43.0,,,,
2013-06-25 00:00:00,74.0,,,,
2013-06-26 00:00:00,39.0,,,,
2013-06-27 00:00:00,41.0,,,,
2013-06-28 00:00:00,31.0,,,,
2013-06-29 00:00:00,83.0,,,,
2013-06-30 00:00:00,67.0,,,,
2013-07-01 00:00:00,126.0,,,,
2013-07-02 00:00:00,192.0,,,,
2013-07-03 00:00:00,132.0,,,,
2013-07-04 00:00:00,135.0,,,,
2013-07-05 00:00:00,335.0,9.0,,,
2013-07-06 00:00:00,374.0,21.0,,,
2013-07-07 00:00:00,481.0,27.0,,,
2013-07-08 00:00:00,616.0,95.0,,,
2013-07-09 00:00:00,626.0,94.0,,,
2013-07-10 00:00:00,566.0,109.0,,,
2013-07-11 00:00:00,544.0,140.0,,,
2013-07-12 00:00:00,556.0,123.0,,,
2013-07-13 00:00:00,439.0,35.0,,,
2013-07-14 00:00:00,459.0,25.0,,,
2013-07-15 00:00:00,351.0,30.0,,,
2013-07-16 00:00:00,396.0,13.0,,,
2013-07-17 00:00:00,389.0,6.0,,,
2013-07-18 00:00:00,409.0,20.0,,,
2013-07-19 00:00:00,332.0,9.0,,,
2013-07-20 00:00:00,372.0,14.0,,,
2013-07-21 00:00:00,460.0,16.0,,,
2013-07-22 00:00:00,486.0,37.0,,,
2013-07-23 00:00:00,517.0,60.0,,,
2013-07-24 00:00:00,355.0,55.0,,,
2013-07-25 00:00:00,448.0,80.0,,,
2013-07-26 00:00:00,501.0,12.0,,,
2013-07-27 00:00:00,477.0,21.0,,,
2013-07-28 00:00:00,362.0,2.0,,,
2013-07-29 00:00:00,226.0,1.0,,,
2013-07-30 00:00:00,463.0,38.0,,,
2013-07-31 00:00:00,481.0,54.0,,,
2013-08-01 00:00:00,465.0,57.0,,,
2013-08-02 00:00:00,359.0,36.0,,,
2013-08-03 00:00:00,414.0,20.0,,,
2013-08-04 00:00:00,408.0,10.0,,,
2013-08-05 00:00:00,511.0,8.0,,,
2013-08-06 00:00:00,576.0,23.0,,,
2013-08-07 00:00:00,696.0,107.0,,,
2013-08-08 00:00:00,662.0,110.0,,,
2013-08-09 00:00:00,654.0,204.0,,,
2013-08-10 00:00:00,692.0,294.0,,,
2013-08-11 00:00:00,699.0,296.0,,,
2013-08-12 00:00:00,705.0,242.0,,,
2013-08-13 00:00:00,649.0,173.0,,,
2013-08-14 00:00:00,681.0,160.0,,,
2013-08-15 00:00:00,735.0,159.0,,,
2013-08-16 00:00:00,752.0,124.0,,,
2013-08-17 00:00:00,715.0,122.0,,,
2013-08-18 00:00:00,716.0,173.0,,,
2013-08-19 00:00:00,724.0,226.0,,,
2013-08-20 00:00:00,503.0,174.0,,,
2013-08-21 00:00:00,530.0,162.0,,,
2013-08-22 00:00:00,585.0,160.0,,,
2013-08-23 00:00:00,418.0,67.0,,,
2013-08-24 00:00:00,277.0,11.0,,,
2013-08-25 00:00:00,111.0,1.0,,,
2013-08-26 00:00:00,148.0,,,,
2013-08-27 00:00:00,335.0,,,,
2013-08-28 00:00:00,391.0,1.0,,,
2013-08-29 00:00:00,485.0,11.0,,,
2013-08-30 00:00:00,422.0,58.0,,,
2013-08-31 00:00:00,397.0,31.0,,,
2013-09-01 00:00:00,201.0,37.0,,,
2013-09-02 00:00:00,97.0,1.0,,,
2013-09-03 00:00:00,176.0,1.0,,,
2013-09-04 00:00:00,189.0,,,,
2013-09-05 00:00:00,124.0,,,,
2013-09-06 00:00:00,144.0,,,,
2013-09-07 00:00:00,92.0,,,,
2013-09-08 00:00:00,86.0,,,,
2013-09-09 00:00:00,111.0,,,,
2013-09-10 00:00:00,174.0,,,,
2013-09-11 00:00:00,280.0,,,,
2013-09-12 00:00:00,373.0,,,,
2013-09-13 00:00:00,472.0,2.0,,,
2013-09-14 00:00:00,534.0,,,,
2013-09-15 00:00:00,147.0,,,,
2013-09-16 00:00:00,78.0,,,,
2013-09-17 00:00:00,100.0,,,,
2013-09-18 00:00:00,130.0,,,,
2013-09-19 00:00:00,134.0,,,,
2013-09-20 00:00:00,184.0,,,,
2013-09-21 00:00:00,253.0,,,,
2013-09-22 00:00:00,256.0,1.0,,,
2013-09-23 00:00:00,151.0,,,,
2013-09-24 00:00:00,213.0,,,,
2013-09-25 00:00:00,241.0,,,,
2013-09-26 00:00:00,17.0,,,,
2013-09-27 00:00:00,12.0,,,,
2013-09-28 00:00:00,39.0,,,,
2013-09-29 00:00:00,34.0,,,,
2013-09-30 00:00:00,28.0,,,,
2013-10-01 00:00:00,91.0,,,,
2013-10-02 00:00:00,100.0,,,,
2013-10-03 00:00:00,32.0,,,,
2013-10-04 00:00:00,3.0,,,,
2013-10-05 00:00:00,1.0,,,,
2013-10-06 00:00:00,96.0,,,,
2013-10-07 00:00:00,131.0,,,,
2013-10-08 00:00:00,44.0,,,,
2013-10-09 00:00:00,141.0,1.0,,,
2013-10-10 00:00:00,117.0,,,,
2013-10-11 00:00:00,88.0,,,,
2013-10-12 00:00:00,57.0,,,,
2013-10-13 00:00:00,1.0,,,,
2013-10-14 00:00:00,7.0,,,,
2013-10-15 00:00:00,,,,,
2013-10-16 00:00:00,2.0,,,,
2013-10-17 00:00:00,,,,,
2013-10-18 00:00:00,,,,,
