date,year,pref,maxtemp,maxtemp_capitol,over30,over30_capitol,over35,over35_capitol,over40,over40_capitol,count
2000-01-01,2000,北海道,-1.2,,False,False,False,False,False,False,1
2000-01-02,2000,北海道,1.8,,False,False,False,False,False,False,1
2000-01-03,2000,北海道,1.5,,False,False,False,False,False,False,1
2000-01-04,2000,北海道,-0.4,,False,False,False,False,False,False,1
2000-01-05,2000,北海道,0.7,,False,False,False,False,False,False,1
2000-01-06,2000,北海道,3.4,,False,False,False,False,False,False,1
2000-01-07,2000,北海道,3.5,,False,False,False,False,False,False,1
2000-01-08,2000,北海道,-2.3,,False,False,False,False,False,False,1
2000-01-09,2000,北海道,0.0,,False,False,False,False,False,False,1
2000-01-10,2000,北海道,0.4,,False,False,False,False,False,False,1
2000-01-11,2000,北海道,-0.1,,False,False,False,False,False,False,1
2000-01-12,2000,北海道,-0.7,,False,False,False,False,False,False,1
2000-01-13,2000,北海道,1.7,,False,False,False,False,False,False,1
2000-01-14,2000,北海道,0.9,,False,False,False,False,False,False,1
2000-01-15,2000,北海道,-1.4,,False,False,False,False,False,False,1
2000-01-16,2000,北海道,0.1,,False,False,False,False,False,False,1
2000-01-17,2000,北海道,0.2,,False,False,False,False,False,False,1
2000-01-18,2000,北海道,-2.5,,False,False,False,False,False,False,1
2000-01-19,2000,北海道,-1.5,,False,False,False,False,False,False,1
2000-01-20,2000,北海道,-0.8,,False,False,False,False,False,False,1
2000-01-21,2000,北海道,-5.5,,False,False,False,False,False,False,1
2000-01-22,2000,北海道,-3.7,,False,False,False,False,False,False,1
2000-01-23,2000,北海道,-4.0,,False,False,False,False,False,False,1
2000-01-24,2000,北海道,-6.1,,False,False,False,False,False,False,1
2000-01-25,2000,北海道,-10.3,,False,False,False,False,False,False,1
2000-01-26,2000,北海道,-8.0,,False,False,False,False,False,False,1
2000-01-27,2000,北海道,-1.4,,False,False,False,False,False,False,1
2000-01-28,2000,北海道,-0.4,,False,False,False,False,False,False,1
