,date,max,year,month,day,month_day,month_day_flourish
0,1963-06-01,27.7,1963,6,1,06-01,6/1
1,1963-06-02,25.6,1963,6,2,06-02,6/2
2,1963-06-03,19.7,1963,6,3,06-03,6/3
3,1963-06-04,16.7,1963,6,4,06-04,6/4
4,1963-06-05,22.0,1963,6,5,06-05,6/5
5,1963-06-06,16.3,1963,6,6,06-06,6/6
6,1963-06-07,12.9,1963,6,7,06-07,6/7
7,1963-06-08,20.1,1963,6,8,06-08,6/8
8,1963-06-09,22.5,1963,6,9,06-09,6/9
9,1963-06-10,28.2,1963,6,10,06-10,6/10
10,1963-06-11,25.1,1963,6,11,06-11,6/11
11,1963-06-12,21.9,1963,6,12,06-12,6/12
12,1963-06-13,25.9,1963,6,13,06-13,6/13
13,1963-06-14,27.5,1963,6,14,06-14,6/14
14,1963-06-15,26.2,1963,6,15,06-15,6/15
15,1963-06-16,24.7,1963,6,16,06-16,6/16
16,1963-06-17,27.6,1963,6,17,06-17,6/17
17,1963-06-18,30.2,1963,6,18,06-18,6/18
18,1963-06-19,21.6,1963,6,19,06-19,6/19
19,1963-06-20,27.7,1963,6,20,06-20,6/20
20,1963-06-21,32.5,1963,6,21,06-21,6/21
21,1963-06-22,31.1,1963,6,22,06-22,6/22
22,1963-06-23,32.9,1963,6,23,06-23,6/23
23,1963-06-24,25.8,1963,6,24,06-24,6/24
24,1963-06-25,24.3,1963,6,25,06-25,6/25
25,1963-06-26,35.7,1963,6,26,06-26,6/26
26,1963-06-27,28.7,1963,6,27,06-27,6/27
27,1963-06-28,29.9,1963,6,28,06-28,6/28
28,1963-06-29,34.3,1963,6,29,06-29,6/29
29,1963-06-30,32.3,1963,6,30,06-30,6/30
30,1963-07-01,34.0,1963,7,1,07-01,7/1
31,1963-07-02,30.9,1963,7,2,07-02,7/2
32,1963-07-03,28.7,1963,7,3,07-03,7/3
33,1963-07-04,23.7,1963,7,4,07-04,7/4
34,1963-07-05,23.9,1963,7,5,07-05,7/5
35,1963-07-06,26.6,1963,7,6,07-06,7/6
36,1963-07-07,32.7,1963,7,7,07-07,7/7
37,1963-07-08,34.1,1963,7,8,07-08,7/8
38,1963-07-09,31.8,1963,7,9,07-09,7/9
39,1963-07-10,31.1,1963,7,10,07-10,7/10
40,1963-07-11,26.4,1963,7,11,07-11,7/11
41,1963-07-12,26.8,1963,7,12,07-12,7/12
42,1963-07-13,29.4,1963,7,13,07-13,7/13
