amdno,type,elems,lat,lon,alt,kjName,knName,enName,temp,humidity,snow,snow1h,snow6h,snow12h,snow24h,sun10m,sun1h,precipitation10m,precipitation1h,precipitation3h,precipitation24h,windDirection,wind,pressure,normalPressure,visibility,weather,temp_color
20146,C,11112110,43.471666666666664,143.75333333333333,210,陸別,リクベツ,Rikubetsu,20.0,100.0,,0,0,0,0,0.0,0.0,0.0,0.0,0.5,45.0,4.0,1.4,,,,,20〜25度以下
36667,B,11111111,37.13166666666667,140.215,355,白河,シラカワ,Shirakawa,27.0,78.0,,0,0,0,0,10.0,0.5,0.0,0.0,0.0,0.0,10.0,1.6,963.8,1003.2,20000.0,1.0,25〜30度以下
57121,C,11112100,35.971666666666664,136.49666666666667,182,大野,オオノ,Ohno,25.4,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5,,,,,25〜30度以下
51106,A,11111111,35.166666666666664,136.965,51,名古屋,ナゴヤ,Nagoya,29.1,64.0,,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,5.0,1.0,1001.0,1007.3,20000.0,1.0,25〜30度以下
24166,C,01000000,42.038333333333334,140.08833333333334,50,潮見,シオミ,Shiomi,,,,0,0,0,0,,,0.0,0.0,0.5,2.5,,,,,,,
21161,C,11112110,42.67,141.07833333333335,390,大滝,オオタキ,Otaki,20.7,87.0,,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,9.0,1.0,,,,,20〜25度以下
41271,C,11112000,36.59166666666667,139.735,165,鹿沼,カヌマ,Kanuma,27.3,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,25〜30度以下
88486,C,11112010,31.25,130.63666666666666,5,指宿,イブスキ,Ibusuki,30.6,79.0,,0,0,0,0,10.0,1.0,0.0,0.0,4.0,5.0,10.0,2.3,,,,,30〜35度以下
82261,C,11112010,33.406666666666666,130.695,38,朝倉,アサクラ,Asakura,28.4,77.0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.5,,,,,25〜30度以下
40391,C,01000000,35.96,140.32,25,江戸崎,エドサキ,Edosaki,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
51271,C,01000000,34.81166666666667,137.02833333333334,12,一色,イッシキ,Isshiki,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
35116,C,11112100,38.87833333333333,140.33166666666668,170,金山,カネヤマ,Kaneyama,23.6,,,0,0,0,0,0.0,0.0,0.0,0.5,7.5,37.0,13.0,1.5,,,,,20〜25度以下
51331,C,11112010,34.75,137.34166666666667,3,豊橋,トヨハシ,Toyohashi,29.7,70.0,,0,0,0,0,2.0,0.4,0.0,0.0,0.0,0.0,1.0,2.0,,,,,25〜30度以下
50536,C,11112010,34.69166666666667,137.88,1,磐田,イワタ,Iwata,28.8,82.0,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,3.4,,,,,25〜30度以下
63111,C,01000000,35.33166666666666,134.665,150,大屋,オオヤ,Oya,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
54566,C,11112100,37.346666666666664,139.04333333333332,222,守門,スモン,Sumon,23.7,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,1.3,,,,,20〜25度以下
52421,C,01000000,35.66166666666667,137.42666666666668,461,付知,ツケチ,Tsukechi,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
71136,C,01000000,33.99,134.03666666666666,228,半田,ハンダ,Handa,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
86086,C,11112010,32.915,130.51166666666666,15,岱明,タイメイ,Taimei,28.4,89.0,,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,2.0,,,,,25〜30度以下
81167,C,01000000,34.35,132.06333333333333,945,羅漢山,ラカンザン,Mt.Rakanzan,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
42302,C,11112000,36.33166666666666,139.165,64,伊勢崎,イセサキ,Isesaki,29.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.6,,,,,25〜30度以下
44126,C,01000000,35.626666666666665,139.62,35,世田谷,セタガヤ,Setagaya,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
17386,C,01000000,43.95166666666667,143.32833333333335,242,丸瀬布,マルセップ,Maruseppu,,,,0,0,0,0,,,0.0,0.0,0.0,1.0,,,,,,,
40066,C,01000000,36.778333333333336,140.48166666666665,270,徳田,トクダ,Tokuda,,,,0,0,0,0,,,0.0,0.0,0.0,1.5,,,,,,,
54501,C,11112110,37.45,138.82333333333332,23,長岡,ナガオカ,Nagaoka,25.0,92.0,,0,0,0,0,0.0,0.0,0.0,0.0,0.5,33.5,8.0,1.9,,,,,25〜30度以下
55252,C,01000000,36.43,136.94166666666666,357,五箇山,ゴカヤマ,Gokayama,,,,0,0,0,0,,,0.0,0.0,0.0,1.0,,,,,,,
61241,C,01000000,35.17666666666667,135.42,150,須知,シュウチ,Shuchi,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
73271,C,01000000,33.638333333333335,132.70833333333334,163,中山,ナカヤマ,Nakayama,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
12686,C,01000000,43.138333333333335,142.41666666666666,284,金山,カナヤマ,Kanayama,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
34331,C,11112000,38.33833333333333,141.01333333333332,105,塩釜,シオガマ,Shiogama,23.8,,,0,0,0,0,0.0,0.0,0.0,1.0,1.0,12.5,16.0,1.0,,,,,20〜25度以下
20551,C,11110100,42.733333333333334,143.21666666666667,149,帯広泉,オビヒロイズミ：帯広空港,Obihiroizumi,22.2,,,0,0,0,0,,,0.0,0.0,0.0,0.0,11.0,0.9,,,,,20〜25度以下
22141,C,11112010,42.49666666666667,142.05333333333334,47,日高門別,ヒダカモンベツ,Hidaka-Monbetsu,20.2,100.0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.7,,,,,20〜25度以下
35466,C,01000000,38.11666666666667,140.21333333333334,270,上山中山,カミノヤマナカヤマ,Kaminoyama-Nakayama,,,,0,0,0,0,,,0.0,1.0,1.5,30.5,,,,,,,
33071,C,11112100,40.29833333333333,141.29833333333335,87,二戸,ニノヘ,Ninohe,21.5,,,0,0,0,0,0.0,0.0,0.0,0.5,1.0,1.5,11.0,0.4,,,,,20〜25度以下
55156,C,01000000,36.608333333333334,137.28333333333333,128,大山,オオヤマ,Oyama,,,,0,0,0,0,,,0.0,0.0,0.0,0.5,,,,,,,
73071,C,01000000,34.01833333333333,132.94,67,玉川,タマガワ,Tamagawa,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
92011,A,11111011,25.828333333333333,131.22833333333332,15,南大東,ミナミダイトウ,Minami-Daito,31.5,70.0,,0,0,0,0,9.0,1.0,0.0,0.0,0.0,0.0,7.0,6.3,1010.2,1012.5,20000.0,0.0,30〜35度以下
34012,C,11112110,38.913333333333334,140.82833333333335,532,駒ノ湯,コマノユ,Komanoyu,21.7,100.0,,0,0,0,0,0.0,0.0,0.0,2.0,9.5,31.0,7.0,1.1,,,,,20〜25度以下
16076,C,11112100,43.181666666666665,140.75833333333333,20,余市,ヨイチ,Yoichi,23.2,,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,1.3,,,,,20〜25度以下
82361,C,11112010,33.00666666666667,130.46666666666667,40,大牟田,オオムタ,Omuta,27.1,91.0,,0,0,0,0,0.0,0.0,0.0,0.0,4.5,4.5,8.0,1.6,,,,,25〜30度以下
42046,C,11112110,36.86333333333333,139.05833333333334,700,藤原,フジワラ,Fujiwara,21.4,94.0,,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.3,,,,,20〜25度以下
94011,C,11110000,24.466666666666665,122.97833333333334,15,所野,トコロノ：与那国空港,Tokorono,29.1,,,0,0,0,0,,,0.0,0.0,0.0,46.0,9.0,3.0,,,,,25〜30度以下
88506,C,11112010,31.276666666666667,131.055,8,内之浦,ウチノウラ,Uchinoura,31.0,63.0,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,3.3,,,,,30〜35度以下
73341,C,11112010,33.446666666666665,132.25666666666666,143,瀬戸,セト,Seto,26.0,86.0,,0,0,0,0,5.0,0.9,0.0,0.0,0.0,0.0,8.0,6.5,,,,,25〜30度以下
34292,B,11111111,38.42666666666667,141.29833333333335,43,石巻,イシノマキ,Ishinomaki,24.4,93.0,,0,0,0,0,0.0,0.0,0.5,1.0,3.5,18.0,15.0,2.1,999.1,1004.0,7980.0,7.0,20〜25度以下
54296,C,11112110,37.791666666666664,139.08666666666667,3,新津,ニイツ,Niitsu,25.0,99.0,,0,0,0,0,0.0,0.0,1.0,1.0,3.0,53.0,8.0,2.1,,,,,25〜30度以下
50066,F,10001011,35.36,138.72666666666666,3775,富士山,フジサン,Mt.Fuji,4.2,79.0,,0,0,0,0,,,,,,,,,645.0,,,,0〜5度以下
20556,C,11112000,42.78666666666667,143.32833333333335,70,糠内,ヌカナイ,Nukanai,22.7,,,0,0,0,0,5.0,0.4,0.0,0.0,0.0,0.0,16.0,1.0,,,,,20〜25度以下
45086,C,01000000,35.795,140.68166666666667,52,東庄,トウノショウ,Tonosho,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
86461,C,01000000,32.245,130.645,120,一勝地,イッショウチ,Isshochi,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
41331,C,11112000,36.47666666666667,139.98666666666668,91,真岡,モオカ,Mooka,28.4,,,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,9.0,1.9,,,,,25〜30度以下
53016,C,01000000,35.14333333333333,136.53833333333333,125,北勢,ホクセイ,Hokusei,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
45291,C,11112010,35.39666666666667,140.14833333333334,30,牛久,ウシク,Ushiku,32.5,58.0,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,2.6,,,,,30〜35度以下
48491,B,11111111,36.045,138.10833333333332,760,諏訪,スワ,Suwa,23.7,71.0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.6,923.0,1006.2,20000.0,1.0,20〜25度以下
20432,B,11111111,42.92166666666667,143.21166666666667,38,帯広,オビヒロ,Obihiro,23.4,69.0,,0,0,0,0,10.0,0.6,0.0,0.0,0.0,0.0,15.0,1.9,996.5,1001.5,20000.0,1.0,20〜25度以下
73141,C,11112010,33.93666666666667,133.33833333333334,90,新居浜,ニイハマ,Niihama,29.7,67.0,,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.6,,,,,25〜30度以下
52557,C,11112000,35.47666666666667,137.48666666666668,378,中津川,ナカツガワ,Nakatsugawa,24.5,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.5,,,,,20〜25度以下
41116,C,11112100,36.891666666666666,139.56833333333333,925,土呂部,ドロブ,Dorobu,20.9,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,20〜25度以下
48031,C,11112100,36.91166666666667,138.44166666666666,576,野沢温泉,ノザワオンセン,Nozawa Onsen,22.1,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,,,,,20〜25度以下
35511,C,11112000,38.00333333333333,140.20666666666668,220,高畠,タカハタ,Takahata,24.4,,,0,0,0,0,0.0,0.0,0.0,0.0,0.5,39.0,3.0,0.5,,,,,20〜25度以下
16091,B,11111111,43.181666666666665,141.015,25,小樽,オタル,Otaru,21.0,82.0,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,998.2,1001.2,20000.0,0.0,20〜25度以下
19416,C,11112100,42.97,144.06166666666667,9,白糠,シラヌカ,Shiranuka,21.2,,,0,0,0,0,7.0,0.4,0.0,0.0,0.0,7.5,9.0,1.1,,,,,20〜25度以下
68456,C,11110000,34.675,131.79,54,高津,タカツ：石見空港,Takatsu,29.4,,,0,0,0,0,,,0.0,0.0,0.0,0.0,10.0,5.0,,,,,25〜30度以下
13206,C,01000100,44.265,141.72166666666666,15,古丹別,コタンベツ,Kotanbetsu,,,,0,0,0,0,,,0.0,0.0,0.0,1.5,,,,,,,
51056,C,01000000,35.22833333333333,137.285,290,小原,オバラ,Obara,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
62046,C,11112010,34.80833333333333,135.67166666666665,26,枚方,ヒラカタ,Hirakata,29.5,78.0,,0,0,0,0,10.0,0.3,0.0,0.0,0.0,0.0,10.0,2.4,,,,,25〜30度以下
48296,C,11112000,36.343333333333334,137.88166666666666,540,穂高,ホタカ,Hotaka,26.8,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.7,,,,,25〜30度以下
35086,C,11110000,38.81166666666667,139.78666666666666,22,浜中,ハマナカ：庄内空港,Hamanaka,24.0,,,0,0,0,0,,,0.0,0.0,0.5,15.0,11.0,8.3,,,,,20〜25度以下
71211,C,01000000,33.87833333333333,134.38833333333332,290,福原旭,フクハラアサヒ,Fukuhara-Asahi,,,,0,0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,
14206,C,11112110,42.92666666666667,141.565,30,恵庭島松,エニワシママツ,Eniwa-Shimamatsu,21.9,87.0,,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,8.0,1.4,,,,,20〜25度以下
34241,C,01000000,38.52,141.465,24,雄勝,オガツ,Ogatsu,,,,0,0,0,0,,,0.5,2.0,3.0,25.0,,,,,,,
18161,C,11112000,43.52,144.74666666666667,160,上標津,カミシベツ,Kami-shibetsu,22.6,,,0,0,0,0,0.0,0.1,0.0,0.0,0.0,31.5,16.0,1.9,,,,,20〜25度以下
74436,C,11112010,33.07833333333333,133.10166666666666,3,佐賀,サガ,Saga,30.3,68.0,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,12.0,2.6,,,,,30〜35度以下
20331,C,01000000,43.115,143.44333333333333,104,押帯,オショップ,Oshoppu,,,,0,0,0,0,,,0.0,0.0,0.0,0.5,,,,,,,
74456,C,11112010,32.99,132.92,8,中村,ナカムラ,Nakamura,30.0,72.0,,0,0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,12.0,2.2,,,,,30〜35度以下
12501,C,11110100,43.67,142.44666666666666,211,東神楽,ヒガシカグラ：旭川空港,Higashi-Kagura,20.7,,,0,0,0,0,,,0.0,0.0,0.0,1.5,6.0,2.3,,,,,20〜25度以下
33486,C,11112010,39.54833333333333,140.84333333333333,407,沢内,サワウチ,Sawauchi,22.2,99.0,,0,0,0,0,0.0,0.0,0.5,6.5,33.5,87.5,9.0,3.5,,,,,20〜25度以下
