date,熱中症患者数
2023-05-01,46.0
2023-05-02,38.0
2023-05-03,94.0
2023-05-04,143.0
2023-05-05,117.0
2023-05-06,46.0
2023-05-07,11.0
2023-05-08,6.0
2023-05-09,59.0
2023-05-10,69.0
2023-05-11,61.0
2023-05-12,70.0
2023-05-13,12.0
2023-05-14,31.0
2023-05-15,38.0
2023-05-16,210.0
2023-05-17,484.0
2023-05-18,546.0
2023-05-19,41.0
2023-05-20,152.0
2023-05-21,292.0
2023-05-22,208.0
2023-05-23,28.0
2023-05-24,82.0
2023-05-25,77.0
2023-05-26,90.0
2023-05-27,219.0
2023-05-28,171.0
2023-05-29,78.0
2023-05-30,82.0
2023-05-31,46.0
2023-06-01,108.0
2023-06-02,51.0
2023-06-03,128.0
2023-06-04,218.0
2023-06-05,197.0
2023-06-06,57.0
2023-06-07,234.0
2023-06-08,116.0
2023-06-09,92.0
2023-06-10,139.0
2023-06-11,65.0
2023-06-12,107.0
2023-06-13,303.0
2023-06-14,111.0
2023-06-15,81.0
2023-06-16,260.0
2023-06-17,535.0
2023-06-18,446.0
2023-06-19,346.0
2023-06-20,258.0
2023-06-21,132.0
2023-06-22,78.0
2023-06-23,121.0
2023-06-24,299.0
2023-06-25,350.0
2023-06-26,311.0
2023-06-27,494.0
2023-06-28,529.0
2023-06-29,657.0
2023-06-30,260.0
2023-07-01,184.0
2023-07-02,792.0
2023-07-03,630.0
2023-07-04,609.0
2023-07-05,230.0
2023-07-06,701.0
2023-07-07,754.0
2023-07-08,500.0
2023-07-09,540.0
2023-07-10,1240.0
2023-07-11,1541.0
2023-07-12,1243.0
2023-07-13,598.0
2023-07-14,593.0
2023-07-15,932.0
2023-07-16,2042.0
2023-07-17,2167.0
2023-07-18,2225.0
2023-07-19,1105.0
2023-07-20,823.0
2023-07-21,770.0
2023-07-22,1011.0
2023-07-23,1089.0
2023-07-24,1221.0
2023-07-25,1577.0
2023-07-26,1929.0
2023-07-27,1893.0
2023-07-28,1787.0
2023-07-29,1739.0
2023-07-30,1619.0
2023-07-31,1640.0
2023-08-01,1398.0
2023-08-02,1447.0
2023-08-03,1479.0
2023-08-04,1625.0
2023-08-05,1851.0
2023-08-06,1370.0
2023-08-07,908.0
2023-08-08,1032.0
2023-08-09,950.0
2023-08-10,1041.0
2023-08-11,1189.0
2023-08-12,1149.0
2023-08-13,997.0
2023-08-14,637.0
2023-08-15,391.0
2023-08-16,720.0
2023-08-17,1032.0
2023-08-18,1377.0
2023-08-19,1604.0
2023-08-20,1599.0
2023-08-21,1497.0
2023-08-22,1345.0
2023-08-23,989.0
2023-08-24,941.0
2023-08-25,986.0
2023-08-26,955.0
2023-08-27,711.0
2023-08-28,711.0
2023-08-29,800.0
2023-08-30,604.0
2023-08-31,407.0
2023-09-01,435.0
2023-09-02,496.0
2023-09-03,742.0
2023-09-04,430.0
2023-09-05,602.0
2023-09-06,198.0
2023-09-07,185.0
2023-09-08,99.0
2023-09-09,280.0
2023-09-10,501.0
2023-09-11,233.0
2023-09-12,294.0
2023-09-13,346.0
2023-09-14,277.0
2023-09-15,442.0
2023-09-16,747.0
2023-09-17,610.0
2023-09-18,364.0
2023-09-19,344.0
2023-09-20,238.0
2023-09-21,113.0
2023-09-22,69.0
2023-09-23,84.0
2023-09-24,89.0
2023-09-25,60.0
2023-09-26,94.0
2023-09-27,149.0
2023-09-28,183.0
2023-09-29,114.0
2023-09-30,103.0
2023-10-01,60.0
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-07,
2023-10-08,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-14,
2023-10-15,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-21,
2023-10-22,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-28,
2023-10-29,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-04,
2023-11-05,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-11,
2023-11-12,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-18,
2023-11-19,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-25,
2023-11-26,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-02,
2023-12-03,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-09,
2023-12-10,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-16,
2023-12-17,
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-23,
2023-12-24,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2023-12-30,
2023-12-31,
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-06,
2024-01-07,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-20,
2024-01-21,
2024-01-22,
2024-01-23,
2024-01-24,
2024-01-25,
2024-01-26,
2024-01-27,
2024-01-28,
2024-01-29,
2024-01-30,
2024-01-31,
2024-02-01,
2024-02-02,
2024-02-03,
2024-02-04,
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-10,
2024-02-11,
2024-02-12,
2024-02-13,
2024-02-14,
2024-02-15,
2024-02-16,
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,
2024-02-21,
2024-02-22,
2024-02-23,
2024-02-24,
2024-02-25,
2024-02-26,
2024-02-27,
2024-02-28,
2024-02-29,
2024-03-01,
2024-03-02,
2024-03-03,
2024-03-04,
2024-03-05,
2024-03-06,
2024-03-07,
2024-03-08,
2024-03-09,
2024-03-10,
2024-03-11,
2024-03-12,
2024-03-13,
2024-03-14,
2024-03-15,
2024-03-16,
2024-03-17,
2024-03-18,
2024-03-19,
2024-03-20,
2024-03-21,
2024-03-22,
2024-03-23,
2024-03-24,
2024-03-25,
2024-03-26,
2024-03-27,
2024-03-28,
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,
2024-04-02,
2024-04-03,
2024-04-04,
2024-04-05,
2024-04-06,
2024-04-07,
2024-04-08,
2024-04-09,
2024-04-10,
2024-04-11,
2024-04-12,
2024-04-13,
2024-04-14,
2024-04-15,
2024-04-16,
2024-04-17,
2024-04-18,
2024-04-19,
2024-04-20,
2024-04-21,
2024-04-22,
2024-04-23,
2024-04-24,
2024-04-25,
2024-04-26,
2024-04-27,
2024-04-28,
2024-04-29,65.0
2024-04-30,31.0
2024-05-01,8.0
2024-05-02,30.0
2024-05-03,128.0
2024-05-04,208.0
2024-05-05,194.0
2024-05-06,34.0
2024-05-07,17.0
2024-05-08,29.0
2024-05-09,18.0
2024-05-10,79.0
2024-05-11,108.0
2024-05-12,50.0
2024-05-13,18.0
2024-05-14,62.0
2024-05-15,66.0
2024-05-16,32.0
2024-05-17,105.0
2024-05-18,255.0
2024-05-19,77.0
2024-05-20,80.0
2024-05-21,136.0
2024-05-22,49.0
2024-05-23,98.0
2024-05-24,197.0
2024-05-25,142.0
2024-05-26,202.0
2024-05-27,63.0
2024-05-28,16.0
2024-05-29,99.0
2024-05-30,101.0
2024-05-31,16.0
2024-06-01,138.0
2024-06-02,76.0
2024-06-03,65.0
2024-06-04,53.0
2024-06-05,113.0
2024-06-06,88.0
2024-06-07,133.0
2024-06-08,175.0
2024-06-09,60.0
2024-06-10,112.0
2024-06-11,297.0
2024-06-12,399.0
2024-06-13,338.0
2024-06-14,595.0
2024-06-15,354.0
2024-06-16,390.0
2024-06-17,230.0
2024-06-18,94.0
2024-06-19,376.0
2024-06-20,256.0
2024-06-21,173.0
2024-06-22,240.0
2024-06-23,115.0
2024-06-24,538.0
2024-06-25,399.0
2024-06-26,341.0
2024-06-27,208.0
2024-06-28,94.0
2024-06-29,445.0
2024-06-30,251.0
2024-07-01,173.0
2024-07-02,467.0
2024-07-03,1141.0
2024-07-04,1406.0
2024-07-05,1901.0
2024-07-06,1844.0
2024-07-07,2173.0
2024-07-08,2271.0
2024-07-09,1382.0
2024-07-10,937.0
2024-07-11,407.0
2024-07-12,296.0
2024-07-13,546.0
2024-07-14,355.0
2024-07-15,395.0
2024-07-16,530.0
2024-07-17,1070.0
2024-07-18,1355.0
2024-07-19,1559.0
2024-07-20,2170.0
2024-07-21,1999.0
2024-07-22,2357.0
2024-07-23,2099.0
2024-07-24,1355.0
2024-07-25,1395.0
2024-07-26,1503.0
2024-07-27,2019.0
2024-07-28,1938.0
2024-07-29,1973.0
2024-07-30,1542.0
2024-07-31,1371.0
2024-08-01,1349.0
2024-08-02,1707.0
2024-08-03,2240.0
2024-08-04,2090.0
2024-08-05,1807.0
2024-08-06,1413.0
2024-08-07,1242.0
2024-08-08,1086.0
2024-08-09,1147.0
2024-08-10,943.0
2024-08-11,1034.0
2024-08-12,996.0
2024-08-13,1174.0
2024-08-14,997.0
2024-08-15,1103.0
2024-08-16,650.0
2024-08-17,1218.0
2024-08-18,966.0
2024-08-19,1051.0
2024-08-20,819.0
2024-08-21,1058.0
2024-08-22,957.0
2024-08-23,1047.0
2024-08-24,1096.0
2024-08-25,683.0
2024-08-26,602.0
2024-08-27,434.0
2024-08-28,252.0
2024-08-29,126.0
2024-08-30,177.0
2024-08-31,292.0
2024-09-01,354.0
2024-09-02,508.0
2024-09-03,207.0
2024-09-04,276.0
2024-09-05,391.0
2024-09-06,416.0
2024-09-07,607.0
2024-09-08,670.0
2024-09-09,409.0
2024-09-10,559.0
2024-09-11,677.0
2024-09-12,700.0
2024-09-13,515.0
2024-09-14,686.0
2024-09-15,611.0
2024-09-16,450.0
2024-09-17,540.0
2024-09-18,666.0
2024-09-19,578.0
2024-09-20,449.0
2024-09-21,199.0
2024-09-22,47.0
2024-09-23,66.0
2024-09-24,51.0
2024-09-25,47.0
2024-09-26,117.0
2024-09-27,76.0
2024-09-28,56.0
2024-09-29,51.0
2024-09-30,63.0
2024-10-01,94.0
2024-10-02,80.0
2024-10-03,6.0
2024-10-04,12.0
2024-10-05,41.0
2024-10-06,132.0
2024-10-07,
2024-10-08,
2024-10-09,
2024-10-10,
2024-10-11,
2024-10-12,
2024-10-13,
2024-10-14,
2024-10-15,
2024-10-16,
2024-10-17,
2024-10-18,
2024-10-19,
2024-10-20,
2024-10-21,
2024-10-22,
2024-10-23,
2024-10-24,
2024-10-25,
2024-10-26,
2024-10-27,
2024-10-28,
2024-10-29,
2024-10-30,
2024-10-31,
2024-11-01,
2024-11-02,
2024-11-03,
2024-11-04,
2024-11-05,
2024-11-06,
2024-11-07,
2024-11-08,
2024-11-09,
2024-11-10,
2024-11-11,
2024-11-12,
2024-11-13,
2024-11-14,
2024-11-15,
2024-11-16,
2024-11-17,
2024-11-18,
2024-11-19,
2024-11-20,
2024-11-21,
2024-11-22,
2024-11-23,
2024-11-24,
2024-11-25,
2024-11-26,
2024-11-27,
2024-11-28,
2024-11-29,
2024-11-30,
2024-12-01,
2024-12-02,
2024-12-03,
2024-12-04,
2024-12-05,
2024-12-06,
2024-12-07,
2024-12-08,
2024-12-09,
2024-12-10,
2024-12-11,
2024-12-12,
2024-12-13,
2024-12-14,
2024-12-15,
2024-12-16,
2024-12-17,
2024-12-18,
2024-12-19,
2024-12-20,
2024-12-21,
2024-12-22,
2024-12-23,
2024-12-24,
2024-12-25,
2024-12-26,
2024-12-27,
2024-12-28,
2024-12-29,
2024-12-30,
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,
2025-01-04,
2025-01-05,
2025-01-06,
2025-01-07,
2025-01-08,
2025-01-09,
2025-01-10,
2025-01-11,
2025-01-12,
2025-01-13,
2025-01-14,
2025-01-15,
2025-01-16,
2025-01-17,
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,
2025-01-22,
2025-01-23,
2025-01-24,
2025-01-25,
2025-01-26,
2025-01-27,
2025-01-28,
2025-01-29,
2025-01-30,
2025-01-31,
2025-02-01,
2025-02-02,
2025-02-03,
2025-02-04,
2025-02-05,
2025-02-06,
2025-02-07,
2025-02-08,
2025-02-09,
2025-02-10,
2025-02-11,
2025-02-12,
2025-02-13,
2025-02-14,
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,
2025-02-19,
2025-02-20,
2025-02-21,
2025-02-22,
2025-02-23,
2025-02-24,
2025-02-25,
2025-02-26,
2025-02-27,
2025-02-28,
2025-03-01,
2025-03-02,
2025-03-03,
2025-03-04,
2025-03-05,
2025-03-06,
2025-03-07,
2025-03-08,
2025-03-09,
2025-03-10,
2025-03-11,
2025-03-12,
2025-03-13,
2025-03-14,
2025-03-15,
2025-03-16,
2025-03-17,
2025-03-18,
2025-03-19,
2025-03-20,
2025-03-21,
2025-03-22,
2025-03-23,
2025-03-24,
2025-03-25,
2025-03-26,
2025-03-27,
2025-03-28,
2025-03-29,
2025-03-30,
2025-03-31,
2025-04-01,
2025-04-02,
2025-04-03,
2025-04-04,
2025-04-05,
2025-04-06,
2025-04-07,
2025-04-08,
2025-04-09,
2025-04-10,
2025-04-11,
2025-04-12,
2025-04-13,
2025-04-14,
2025-04-15,
2025-04-16,
2025-04-17,
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,
2025-04-22,
2025-04-23,
2025-04-24,
2025-04-25,
2025-04-26,
2025-04-27,
2025-04-28,
2025-04-29,
2025-04-30,
2025-05-01,51.0
2025-05-02,14.0
2025-05-03,49.0
2025-05-04,61.0
2025-05-05,52.0
2025-05-06,6.0
2025-05-07,30.0
2025-05-08,55.0
2025-05-09,14.0
2025-05-10,25.0
2025-05-11,58.0
2025-05-12,23.0
2025-05-13,113.0
2025-05-14,154.0
2025-05-15,100.0
2025-05-16,93.0
2025-05-17,46.0
2025-05-18,209.0
2025-05-19,62.0
2025-05-20,342.0
2025-05-21,355.0
2025-05-22,171.0
2025-05-23,97.0
2025-05-24,21.0
2025-05-25,29.0
2025-05-26,28.0
2025-05-27,66.0
2025-05-28,116.0
2025-05-29,48.0
2025-05-30,31.0
2025-05-31,29.0
2025-06-01,114.0
2025-06-02,80.0
2025-06-03,18.0
2025-06-04,149.0
2025-06-05,229.0
2025-06-06,225.0
2025-06-07,312.0
2025-06-08,158.0
2025-06-09,103.0
2025-06-10,84.0
2025-06-11,78.0
2025-06-12,111.0
2025-06-13,216.0
2025-06-14,71.0
2025-06-15,303.0
2025-06-16,874.0
2025-06-17,1793.0
2025-06-18,1556.0
2025-06-19,1423.0
2025-06-20,1011.0
2025-06-21,992.0
2025-06-22,954.0
2025-06-23,463.0
2025-06-24,371.0
2025-06-25,590.0
2025-06-26,531.0
2025-06-27,679.0
2025-06-28,934.0
2025-06-29,1097.0
2025-06-30,1424.0
2025-07-01,1669.0
2025-07-02,1332.0
2025-07-03,1457.0
2025-07-04,1382.0
2025-07-05,1339.0
2025-07-06,1445.0
2025-07-07,1906.0
2025-07-08,1719.0
2025-07-09,1452.0
2025-07-10,1180.0
2025-07-11,713.0
2025-07-12,698.0
2025-07-13,878.0
2025-07-14,537.0
2025-07-15,530.0
2025-07-16,588.0
2025-07-17,596.0
2025-07-18,669.0
2025-07-19,989.0
2025-07-20,1400.0
2025-07-21,1444.0
2025-07-22,1860.0
2025-07-23,1780.0
2025-07-24,1703.0
2025-07-25,1521.0
2025-07-26,1417.0
2025-07-27,1079.0
2025-07-28,1446.0
2025-07-29,1414.0
2025-07-30,1360.0
2025-07-31,1105.0
2025-08-01,1144.0
2025-08-02,1454.0
2025-08-03,1584.0
2025-08-04,1451.0
2025-08-05,2137.0
2025-08-06,2034.0
2025-08-07,612.0
2025-08-08,648.0
2025-08-09,482.0
2025-08-10,214.0
2025-08-11,280.0
2025-08-12,472.0
2025-08-13,847.0
2025-08-14,791.0
2025-08-15,946.0
2025-08-16,880.0
2025-08-17,925.0
2025-08-18,1482.0
2025-08-19,1440.0
2025-08-20,1228.0
2025-08-21,957.0
2025-08-22,848.0
2025-08-23,1069.0
2025-08-24,1378.0
2025-08-25,1056.0
2025-08-26,858.0
2025-08-27,662.0
2025-08-28,520.0
2025-08-29,573.0
2025-08-30,966.0
2025-08-31,851.0
2025-09-01,897.0
2025-09-02,780.0
2025-09-03,607.0
2025-09-04,219.0
2025-09-05,193.0
2025-09-06,510.0
2025-09-07,570.0
2025-09-08,622.0
2025-09-09,727.0
2025-09-10,374.0
2025-09-11,208.0
2025-09-12,169.0
2025-09-13,190.0
2025-09-14,434.0
2025-09-15,454.0
2025-09-16,621.0
2025-09-17,682.0
2025-09-18,251.0
2025-09-19,103.0
2025-09-20,103.0
2025-09-21,115.0
2025-09-22,60.0
2025-09-23,60.0
2025-09-24,66.0
2025-09-25,61.0
2025-09-26,163.0
2025-09-27,95.0
2025-09-28,65.0
