month_day,day,真夏日,猛暑日,month
5/1,1,0,0,5
5/2,2,0,0,5
5/3,3,0,0,5
5/4,4,1,0,5
5/5,5,11,0,5
5/6,6,19,0,5
5/7,7,4,0,5
5/8,8,0,0,5
5/9,9,0,0,5
5/10,10,0,0,5
5/11,11,0,0,5
5/12,12,0,0,5
5/13,13,0,0,5
5/14,14,0,0,5
5/15,15,0,0,5
5/16,16,41,0,5
5/17,17,299,1,5
5/18,18,282,6,5
5/19,19,0,0,5
5/20,20,0,0,5
5/21,21,16,0,5
5/22,22,37,0,5
5/23,23,0,0,5
5/24,24,0,0,5
5/25,25,4,0,5
5/26,26,7,0,5
5/27,27,16,0,5
5/28,28,35,0,5
5/29,29,58,0,5
5/30,30,35,0,5
5/31,31,7,0,5
6/1,1,8,0,6
6/2,2,6,0,6
6/3,3,24,0,6
6/4,4,15,0,6
6/5,5,33,0,6
6/6,6,18,0,6
6/7,7,52,0,6
6/8,8,19,0,6
6/9,9,14,0,6
6/10,10,24,0,6
6/11,11,17,0,6
6/12,12,26,0,6
6/13,13,73,0,6
6/14,14,4,0,6
6/15,15,7,0,6
6/16,16,67,0,6
6/17,17,288,0,6
6/18,18,158,3,6
6/19,19,199,0,6
6/20,20,139,0,6
6/21,21,44,0,6
6/22,22,43,0,6
6/23,23,27,0,6
6/24,24,74,0,6
6/25,25,131,0,6
6/26,26,214,0,6
6/27,27,393,2,6
6/28,28,372,0,6
6/29,29,374,2,6
6/30,30,121,0,6
7/1,1,45,0,7
7/2,2,416,3,7
7/3,3,250,2,7
7/4,4,320,17,7
7/5,5,84,0,7
7/6,6,540,19,7
7/7,7,487,62,7
7/8,8,264,0,7
7/9,9,325,3,7
7/10,10,486,53,7
7/11,11,574,57,7
7/12,12,439,58,7
7/13,13,316,4,7
7/14,14,247,0,7
7/15,15,429,19,7
7/16,16,618,157,7
7/17,17,646,194,7
7/18,18,573,163,7
7/19,19,390,14,7
7/20,20,392,9,7
7/21,21,412,9,7
7/22,22,577,25,7
7/23,23,652,38,7
7/24,24,714,88,7
7/25,25,778,167,7
7/26,26,807,226,7
7/27,27,804,251,7
7/28,28,835,233,7
7/29,29,847,217,7
7/30,30,775,223,7
7/31,31,653,124,7
8/1,1,694,155,8
8/2,2,791,192,8
8/3,3,714,229,8
8/4,4,780,290,8
8/5,5,695,274,8
8/6,6,665,223,8
