date,観測所番号,都道府県名,地名,最高気温
2024-07-10,50331,静岡県,静岡,30.8
2024-07-10,83216,大分県,大分,30.6
2024-07-10,82182,福岡県,福岡,30.2
2024-07-10,92006,沖縄県,北大東,30.2
2024-07-10,94081,沖縄県,石垣島,30.1
2024-07-10,50491,静岡県,松崎,30.1
2024-07-10,50281,静岡県,網代,30.0
2024-07-10,44132,東京都,東京,29.9
2024-07-10,44166,東京都,羽田,29.8
2024-07-10,91141,沖縄県,北原,29.8
2024-07-10,92011,沖縄県,南大東,29.8
2024-07-10,46106,神奈川県,横浜,29.6
2024-07-10,88931,鹿児島県,天城,29.6
2024-07-10,50506,静岡県,稲取,29.6
2024-07-10,45212,千葉県,千葉,29.5
2024-07-10,67437,広島県,広島,29.5
2024-07-10,91146,沖縄県,久米島,29.5
2024-07-10,93062,沖縄県,仲筋,29.5
2024-07-10,83051,大分県,中津,29.5
2024-07-10,81428,山口県,下関,29.4
2024-07-10,42266,群馬県,桐生,29.4
2024-07-10,83061,大分県,豊後高田,29.4
2024-07-10,88317,鹿児島県,鹿児島,29.3
2024-07-10,82171,福岡県,前原,29.3
2024-07-10,88836,鹿児島県,名瀬,29.3
2024-07-10,88901,鹿児島県,古仁屋,29.3
2024-07-10,83106,大分県,院内,29.3
2024-07-10,94017,沖縄県,与那国島,29.3
2024-07-10,94011,沖縄県,所野,29.3
2024-07-10,92012,沖縄県,旧東,29.3
2024-07-10,91197,沖縄県,那覇,29.2
2024-07-10,94116,沖縄県,波照間,29.2
2024-07-10,82101,福岡県,行橋,29.2
2024-07-10,85142,佐賀県,佐賀,29.1
2024-07-10,62078,大阪府,大阪,29.1
2024-07-10,88971,鹿児島県,沖永良部,29.1
2024-07-10,91236,沖縄県,安次嶺,29.1
2024-07-10,42302,群馬県,伊勢崎,29.0
2024-07-10,45401,千葉県,館山,29.0
2024-07-10,62096,大阪府,八尾,29.0
2024-07-10,50456,静岡県,浜松,29.0
2024-07-10,88956,鹿児島県,伊仙,28.9
2024-07-10,82046,福岡県,宗像,28.9
2024-07-10,88706,鹿児島県,尾之間,28.9
2024-07-10,88686,鹿児島県,屋久島,28.9
2024-07-10,87376,宮崎県,宮崎,28.9
2024-07-10,82068,福岡県,空港北町,28.9
2024-07-10,88986,鹿児島県,与論島,28.9
2024-07-10,45261,千葉県,茂原,28.8
2024-07-10,85176,佐賀県,川副,28.8
2024-07-10,93041,沖縄県,宮古島,28.8
2024-07-10,82056,福岡県,八幡,28.7
2024-07-10,93012,沖縄県,下地島,28.7
2024-07-10,91107,沖縄県,名護,28.7
2024-07-10,82136,福岡県,飯塚,28.6
2024-07-10,88821,鹿児島県,笠利,28.6
2024-07-10,73166,愛媛県,松山,28.6
2024-07-10,62091,大阪府,堺,28.6
2024-07-10,88466,鹿児島県,枕崎,28.6
2024-07-10,94101,沖縄県,大原,28.6
2024-07-10,82186,福岡県,博多,28.5
2024-07-10,46166,神奈川県,小田原,28.5
2024-07-10,82191,福岡県,太宰府,28.5
2024-07-10,88131,鹿児島県,中甑,28.4
2024-07-10,87492,宮崎県,油津,28.4
2024-07-10,94062,沖縄県,西表島,28.4
2024-07-10,88851,鹿児島県,喜界島,28.4
2024-07-10,67511,広島県,呉,28.4
2024-07-10,74182,高知県,高知,28.4
2024-07-10,63518,兵庫県,神戸,28.4
2024-07-10,88612,鹿児島県,種子島,28.4
2024-07-10,84496,長崎県,長崎,28.3
2024-07-10,65042,和歌山県,和歌山,28.3
2024-07-10,84183,長崎県,松浦,28.3
2024-07-10,91166,沖縄県,宮城島,28.3
2024-07-10,81436,山口県,宇部,28.3
2024-07-10,44228,東京都,三宅坪田,28.3
2024-07-10,45291,千葉県,牛久,28.3
2024-07-10,72086,香川県,高松,28.3
2024-07-10,44071,東京都,練馬,28.3
2024-07-10,45106,千葉県,船橋,28.2
2024-07-10,42251,群馬県,前橋,28.2
2024-07-10,86491,熊本県,牛深,28.2
2024-07-10,85116,佐賀県,伊万里,28.2
2024-07-10,82306,福岡県,久留米,28.2
2024-07-10,82206,福岡県,添田,28.2
2024-07-10,84266,長崎県,佐世保,28.2
2024-07-10,91011,沖縄県,伊是名,28.2
2024-07-10,93042,沖縄県,鏡原,28.2
2024-07-10,67496,広島県,大竹,28.1
2024-07-10,82261,福岡県,朝倉,28.1
2024-07-10,46141,神奈川県,辻堂,28.1
2024-07-10,87412,宮崎県,赤江,28.1
2024-07-10,45116,千葉県,佐倉,28.1
2024-07-10,43256,埼玉県,越谷,28.1
2024-07-10,94001,沖縄県,伊原間,28.1
2024-07-10,84597,長崎県,脇岬,28.0
2024-07-10,51281,愛知県,蒲郡,28.0
2024-07-10,44207,東京都,新島,28.0
2024-07-10,85033,佐賀県,唐津,28.0
2024-07-10,84523,長崎県,島原,28.0
2024-07-10,68376,島根県,浜田,28.0
2024-07-10,84306,長崎県,西海,28.0
2024-07-10,84341,長崎県,有川,27.9
2024-07-10,81071,山口県,萩,27.9
2024-07-10,50206,静岡県,三島,27.9
2024-07-10,50536,静岡県,磐田,27.9
2024-07-10,43241,埼玉県,さいたま,27.9
2024-07-10,44116,東京都,府中,27.9
2024-07-10,45361,千葉県,鴨川,27.8
2024-07-10,43056,埼玉県,熊谷,27.8
2024-07-10,51331,愛知県,豊橋,27.8
2024-07-10,88061,鹿児島県,阿久根,27.8
2024-07-10,74516,高知県,清水,27.8
2024-07-10,84371,長崎県,大村,27.8
2024-07-10,40341,茨城県,土浦,27.7
2024-07-10,53133,三重県,津,27.7
2024-07-10,50477,静岡県,静岡空港,27.7
2024-07-10,86216,熊本県,三角,27.7
2024-07-10,88371,鹿児島県,加世田,27.7
2024-07-10,45181,千葉県,横芝光,27.7
2024-07-10,88442,鹿児島県,鹿屋,27.7
2024-07-10,36611,福島県,広野,27.7
2024-07-10,73126,愛媛県,西条,27.7
2024-07-10,68462,島根県,益田,27.7
2024-07-10,81286,山口県,山口,27.7
2024-07-10,86316,熊本県,本渡,27.6
2024-07-10,45282,千葉県,木更津,27.6
2024-07-10,88486,鹿児島県,指宿,27.6
2024-07-10,44136,東京都,江戸川臨海,27.6
2024-07-10,87141,宮崎県,延岡,27.6
2024-07-10,84072,長崎県,厳原,27.6
2024-07-10,40221,茨城県,古河,27.5
2024-07-10,86086,熊本県,岱明,27.5
2024-07-10,41277,栃木県,宇都宮,27.5
2024-07-10,88736,鹿児島県,中之島,27.5
2024-07-10,86141,熊本県,熊本,27.5
2024-07-10,51106,愛知県,名古屋,27.5
2024-07-10,65276,和歌山県,新宮,27.5
2024-07-10,83021,大分県,国見,27.5
2024-07-10,94086,沖縄県,盛山,27.5
2024-07-10,84012,長崎県,鰐浦,27.5
2024-07-10,85166,佐賀県,白石,27.4
2024-07-10,53196,三重県,小俣,27.4
2024-07-10,62101,大阪府,関空島,27.4
2024-07-10,85161,佐賀県,嬉野,27.4
2024-07-10,53401,三重県,熊野新鹿,27.4
2024-07-10,40336,茨城県,つくば,27.4
2024-07-10,44226,東京都,三宅島,27.4
2024-07-10,45121,千葉県,成田,27.4
2024-07-10,42366,群馬県,館林,27.4
2024-07-10,87331,宮崎県,西都,27.4
2024-07-10,86336,熊本県,八代,27.4
2024-07-10,46211,神奈川県,三浦,27.4
2024-07-10,91241,沖縄県,糸数,27.3
2024-07-10,40406,茨城県,鹿嶋,27.3
2024-07-10,69021,鳥取県,塩津,27.3
2024-07-10,73442,愛媛県,宇和島,27.3
2024-07-10,43126,埼玉県,久喜,27.3
