year,max35_year_total,total_on_date,rem_days,previous_day,2023_total
1963,3,2,1,7月28日,0
1964,1,0,1,7月28日,0
1965,1,0,1,7月28日,0
1966,0,0,0,7月28日,0
1967,2,0,2,7月28日,0
1968,0,0,0,7月28日,0
1969,3,0,3,7月28日,0
1970,4,0,4,7月28日,0
1971,0,0,0,7月28日,0
1972,1,0,1,7月28日,0
1973,0,0,0,7月28日,0
1974,0,0,0,7月28日,0
1975,2,1,1,7月28日,0
1976,1,0,1,7月28日,0
1977,0,0,0,7月28日,0
1978,7,0,7,7月28日,0
1979,0,0,0,7月28日,0
1980,0,0,0,7月28日,0
1981,0,0,0,7月28日,0
1982,0,0,0,7月28日,0
1983,2,0,2,7月28日,0
1984,3,0,3,7月28日,0
1985,1,0,1,7月28日,0
1986,0,0,0,7月28日,0
1987,3,2,1,7月28日,0
1988,0,0,0,7月28日,0
1989,0,0,0,7月28日,0
1990,2,0,2,7月28日,0
1991,4,3,1,7月28日,0
1992,2,0,2,7月28日,0
1993,0,0,0,7月28日,0
1994,8,3,5,7月28日,0
1995,13,2,11,7月28日,0
1996,2,0,2,7月28日,0
1997,3,3,0,7月28日,0
1998,3,2,1,7月28日,0
1999,0,0,0,7月28日,0
2000,1,0,1,7月28日,0
2001,8,7,1,7月28日,0
2002,6,0,6,7月28日,0
2003,0,0,0,7月28日,0
2004,6,4,2,7月28日,0
2005,4,2,2,7月28日,0
2006,3,2,1,7月28日,0
2007,7,0,7,7月28日,0
2008,1,0,1,7月28日,0
2009,0,0,0,7月28日,0
2010,13,4,9,7月28日,0
2011,4,1,3,7月28日,0
2012,6,2,4,7月28日,0
2013,12,6,6,7月28日,0
2014,5,1,4,7月28日,0
2015,11,2,9,7月28日,0
2016,3,2,1,7月28日,0
2017,2,1,1,7月28日,0
2018,12,5,7,7月28日,0
2019,12,0,12,7月28日,0
2020,12,0,12,7月28日,0
2021,2,0,2,7月28日,0
2022,16,9,7,7月28日,0
2023,10,0,0,7月28日,10
