date,date_popup,date_x_axis,year,temp
1979-01-01,1979年1月1日,2000-01-01,1979,12.311
1979-01-02,1979年1月2日,2000-01-02,1979,12.293
1979-01-03,1979年1月3日,2000-01-03,1979,12.274
1979-01-04,1979年1月4日,2000-01-04,1979,12.23
1979-01-05,1979年1月5日,2000-01-05,1979,12.273
1979-01-06,1979年1月6日,2000-01-06,1979,12.299
1979-01-07,1979年1月7日,2000-01-07,1979,12.214
1979-01-08,1979年1月8日,2000-01-08,1979,12.237
1979-01-09,1979年1月9日,2000-01-09,1979,12.222
1979-01-10,1979年1月10日,2000-01-10,1979,12.226
1979-01-11,1979年1月11日,2000-01-11,1979,12.198
1979-01-12,1979年1月12日,2000-01-12,1979,12.243
1979-01-13,1979年1月13日,2000-01-13,1979,12.251
1979-01-14,1979年1月14日,2000-01-14,1979,12.22
1979-01-15,1979年1月15日,2000-01-15,1979,12.196
1979-01-16,1979年1月16日,2000-01-16,1979,12.216
1979-01-17,1979年1月17日,2000-01-17,1979,12.318
1979-01-18,1979年1月18日,2000-01-18,1979,12.353
1979-01-19,1979年1月19日,2000-01-19,1979,12.303
1979-01-20,1979年1月20日,2000-01-20,1979,12.345
1979-01-21,1979年1月21日,2000-01-21,1979,12.352
1979-01-22,1979年1月22日,2000-01-22,1979,12.306
1979-01-23,1979年1月23日,2000-01-23,1979,12.263
1979-01-24,1979年1月24日,2000-01-24,1979,12.294
1979-01-25,1979年1月25日,2000-01-25,1979,12.261
1979-01-26,1979年1月26日,2000-01-26,1979,12.258
1979-01-27,1979年1月27日,2000-01-27,1979,12.252
1979-01-28,1979年1月28日,2000-01-28,1979,12.144
1979-01-29,1979年1月29日,2000-01-29,1979,11.985
1979-01-30,1979年1月30日,2000-01-30,1979,11.891
1979-01-31,1979年1月31日,2000-01-31,1979,11.872
1979-02-01,1979年2月1日,2000-02-01,1979,11.874
1979-02-02,1979年2月2日,2000-02-02,1979,11.941
1979-02-03,1979年2月3日,2000-02-03,1979,11.958
1979-02-04,1979年2月4日,2000-02-04,1979,11.871
1979-02-05,1979年2月5日,2000-02-05,1979,11.873
1979-02-06,1979年2月6日,2000-02-06,1979,11.938
1979-02-07,1979年2月7日,2000-02-07,1979,12.033
1979-02-08,1979年2月8日,2000-02-08,1979,12.09
1979-02-09,1979年2月9日,2000-02-09,1979,12.128
1979-02-10,1979年2月10日,2000-02-10,1979,12.157
1979-02-11,1979年2月11日,2000-02-11,1979,12.172
1979-02-12,1979年2月12日,2000-02-12,1979,12.192
1979-02-13,1979年2月13日,2000-02-13,1979,12.119
1979-02-14,1979年2月14日,2000-02-14,1979,12.168
