,date,熱中症患者数
2,5月1日 ,46
3,5月2日 ,38
4,5月3日 ,94
5,5月4日 ,143
6,5月5日 ,117
7,5月6日 ,46
8,5月7日 ,11
2,5月8日 ,6
3,5月9日 ,59
4,5月10日 ,69
5,5月11日 ,61
6,5月12日 ,70
7,5月13日 ,12
8,5月14日 ,31
2,5月15日 ,38
3,5月16日 ,210
4,5月17日 ,484
5,5月18日 ,546
6,5月19日 ,41
7,5月20日 ,152
8,5月21日 ,292
2,5月22日 ,208
3,5月23日 ,28
4,5月24日 ,82
5,5月25日 ,77
6,5月26日 ,90
7,5月27日 ,219
8,5月28日 ,171
2,5月29日 ,78
3,5月30日 ,82
4,5月31日 ,46
5,6月1日 ,108
6,6月2日 ,51
7,6月3日 ,128
8,6月4日 ,218
2,6月5日 ,197
3,6月6日 ,57
4,6月7日 ,234
5,6月8日 ,116
6,6月9日 ,92
7,6月10日 ,139
8,6月11日 ,65
2,6月12日 ,107
3,6月13日 ,303
4,6月14日 ,111
5,6月15日 ,81
6,6月16日 ,260
7,6月17日 ,535
8,6月18日 ,446
2,6月19日 ,346
3,6月20日 ,258
4,6月21日 ,132
5,6月22日 ,78
6,6月23日 ,121
7,6月24日 ,299
8,6月25日 ,350
2,6月26日 ,311
3,6月27日 ,494
4,6月28日 ,529
5,6月29日 ,657
6,6月30日 ,260
7,7月1日 ,184
8,7月2日 ,792
2,7月3日 ,630
3,7月4日 ,609
4,7月5日 ,230
5,7月6日 ,701
6,7月7日 ,754
7,7月8日 ,500
8,7月9日 ,540
2,7月10日 ,"1,240"
3,7月11日 ,"1,541"
4,7月12日 ,"1,243"
5,7月13日 ,598
6,7月14日 ,593
7,7月15日 ,932
8,7月16日 ,"2,042"
2,7月17日 ,"2,167"
3,7月18日 ,"2,225"
4,7月19日 ,"1,105"
5,7月20日 ,823
6,7月21日 ,770
7,7月22日 ,"1,011"
8,7月23日 ,"1,089"
