year,max35_year_total,total_on_date,rem_days,previous_day,2023_total,popup_total_on_date
1963,3,3,0,8月14日,0,3
1964,1,1,0,8月14日,0,1
1965,1,0,1,8月14日,0,0
1966,0,0,0,8月14日,0,0
1967,2,1,1,8月14日,0,1
1968,0,0,0,8月14日,0,0
1969,3,3,0,8月14日,0,3
1970,4,2,2,8月14日,0,2
1971,0,0,0,8月14日,0,0
1972,1,1,0,8月14日,0,1
1973,0,0,0,8月14日,0,0
1974,0,0,0,8月14日,0,0
1975,2,2,0,8月14日,0,2
1976,1,0,1,8月14日,0,0
1977,0,0,0,8月14日,0,0
1978,7,1,6,8月14日,0,1
1979,0,0,0,8月14日,0,0
1980,0,0,0,8月14日,0,0
1981,0,0,0,8月14日,0,0
1982,0,0,0,8月14日,0,0
1983,2,0,2,8月14日,0,0
1984,3,1,2,8月14日,0,1
1985,1,0,1,8月14日,0,0
1986,0,0,0,8月14日,0,0
1987,3,3,0,8月14日,0,3
1988,0,0,0,8月14日,0,0
1989,0,0,0,8月14日,0,0
1990,2,1,1,8月14日,0,1
1991,4,4,0,8月14日,0,4
1992,2,0,2,8月14日,0,0
1993,0,0,0,8月14日,0,0
1994,8,7,1,8月14日,0,7
1995,13,6,7,8月14日,0,6
1996,2,0,2,8月14日,0,0
1997,3,3,0,8月14日,0,3
1998,3,2,1,8月14日,0,2
1999,0,0,0,8月14日,0,0
2000,1,0,1,8月14日,0,0
2001,8,8,0,8月14日,0,8
2002,6,6,0,8月14日,0,6
2003,0,0,0,8月14日,0,0
2004,6,4,2,8月14日,0,4
2005,4,4,0,8月14日,0,4
2006,3,3,0,8月14日,0,3
2007,7,2,5,8月14日,0,2
2008,1,1,0,8月14日,0,1
2009,0,0,0,8月14日,0,0
2010,13,4,9,8月14日,0,4
2011,4,3,1,8月14日,0,3
2012,6,2,4,8月14日,0,2
2013,12,9,3,8月14日,0,9
2014,5,5,0,8月14日,0,5
2015,11,11,0,8月14日,0,11
2016,3,3,0,8月14日,0,3
2017,2,2,0,8月14日,0,2
2018,12,8,4,8月14日,0,8
2019,12,8,4,8月14日,0,8
2020,12,5,7,8月14日,0,5
2021,2,1,1,8月14日,0,1
2022,16,15,1,8月14日,0,15
2023,19,0,0,8月14日,19,19
