,date,max,year,month,day,month_day,month_day_flourish
0,2023-06-01,26.2,2023,6,1,06-01,6/1
1,2023-06-02,23.8,2023,6,2,06-02,6/2
2,2023-06-03,24.0,2023,6,3,06-03,6/3
3,2023-06-04,27.5,2023,6,4,06-04,6/4
4,2023-06-05,29.8,2023,6,5,06-05,6/5
5,2023-06-06,25.1,2023,6,6,06-06,6/6
6,2023-06-07,29.6,2023,6,7,06-07,6/7
7,2023-06-08,28.7,2023,6,8,06-08,6/8
8,2023-06-09,22.2,2023,6,9,06-09,6/9
9,2023-06-10,26.0,2023,6,10,06-10,6/10
10,2023-06-11,22.8,2023,6,11,06-11,6/11
11,2023-06-12,22.5,2023,6,12,06-12,6/12
12,2023-06-13,29.4,2023,6,13,06-13,6/13
13,2023-06-14,25.8,2023,6,14,06-14,6/14
14,2023-06-15,24.1,2023,6,15,06-15,6/15
15,2023-06-16,30.7,2023,6,16,06-16,6/16
16,2023-06-17,30.9,2023,6,17,06-17,6/17
17,2023-06-18,31.1,2023,6,18,06-18,6/18
18,2023-06-19,27.7,2023,6,19,06-19,6/19
19,2023-06-20,27.0,2023,6,20,06-20,6/20
20,2023-06-21,27.2,2023,6,21,06-21,6/21
21,2023-06-22,22.6,2023,6,22,06-22,6/22
22,2023-06-23,24.9,2023,6,23,06-23,6/23
23,2023-06-24,29.5,2023,6,24,06-24,6/24
24,2023-06-25,30.9,2023,6,25,06-25,6/25
25,2023-06-26,30.4,2023,6,26,06-26,6/26
26,2023-06-27,29.6,2023,6,27,06-27,6/27
27,2023-06-28,32.3,2023,6,28,06-28,6/28
28,2023-06-29,33.8,2023,6,29,06-29,6/29
29,2023-06-30,30.5,2023,6,30,06-30,6/30
30,1964-06-01,24.9,1964,6,1,06-01,6/1
31,1964-06-02,25.0,1964,6,2,06-02,6/2
32,1964-06-03,21.6,1964,6,3,06-03,6/3
33,1964-06-04,27.9,1964,6,4,06-04,6/4
34,1964-06-05,24.7,1964,6,5,06-05,6/5
35,1964-06-06,19.7,1964,6,6,06-06,6/6
36,1964-06-07,27.6,1964,6,7,06-07,6/7
37,1964-06-08,28.5,1964,6,8,06-08,6/8
38,1964-06-09,21.3,1964,6,9,06-09,6/9
