,temp,year,date
0,12.31,1979,1/1
1,12.29,1979,1/2
2,12.27,1979,1/3
3,12.23,1979,1/4
4,12.27,1979,1/5
5,12.3,1979,1/6
6,12.21,1979,1/7
7,12.24,1979,1/8
8,12.22,1979,1/9
9,12.23,1979,1/10
10,12.2,1979,1/11
11,12.24,1979,1/12
12,12.25,1979,1/13
13,12.22,1979,1/14
14,12.2,1979,1/15
15,12.22,1979,1/16
16,12.32,1979,1/17
17,12.35,1979,1/18
18,12.3,1979,1/19
19,12.35,1979,1/20
20,12.35,1979,1/21
21,12.31,1979,1/22
22,12.26,1979,1/23
23,12.29,1979,1/24
24,12.26,1979,1/25
25,12.26,1979,1/26
26,12.25,1979,1/27
27,12.14,1979,1/28
28,11.98,1979,1/29
29,11.89,1979,1/30
30,11.87,1979,1/31
31,11.87,1979,2/1
32,11.94,1979,2/2
33,11.96,1979,2/3
34,11.87,1979,2/4
35,11.87,1979,2/5
36,11.94,1979,2/6
37,12.03,1979,2/7
38,12.09,1979,2/8
39,12.13,1979,2/9
40,12.16,1979,2/10
41,12.17,1979,2/11
42,12.19,1979,2/12
43,12.12,1979,2/13
44,12.17,1979,2/14
45,12.21,1979,2/15
46,12.18,1979,2/16
47,12.21,1979,2/17
48,12.29,1979,2/18
49,12.32,1979,2/19
50,12.38,1979,2/20
51,12.38,1979,2/21
52,12.34,1979,2/22
53,12.35,1979,2/23
54,12.34,1979,2/24
55,12.32,1979,2/25
56,12.38,1979,2/26
57,12.46,1979,2/27
58,12.48,1979,2/28
59,12.48,1979,3/1
60,12.55,1979,3/2
61,12.65,1979,3/3
62,12.65,1979,3/4
63,12.68,1979,3/5
64,12.73,1979,3/6
65,12.74,1979,3/7
66,12.72,1979,3/8
67,12.77,1979,3/9
68,12.77,1979,3/10
69,12.85,1979,3/11
70,12.88,1979,3/12
71,12.91,1979,3/13
72,13.0,1979,3/14
73,13.06,1979,3/15
74,13.08,1979,3/16
75,13.1,1979,3/17
76,13.2,1979,3/18
77,13.3,1979,3/19
78,13.35,1979,3/20
79,13.38,1979,3/21
80,13.51,1979,3/22
81,13.55,1979,3/23
82,13.51,1979,3/24
83,13.45,1979,3/25
84,13.4,1979,3/26
85,13.41,1979,3/27
86,13.46,1979,3/28
87,13.51,1979,3/29
88,13.57,1979,3/30
89,13.53,1979,3/31
90,13.52,1979,4/1
91,13.55,1979,4/2
92,13.56,1979,4/3
93,13.56,1979,4/4
94,13.57,1979,4/5
95,13.57,1979,4/6
96,13.62,1979,4/7
97,13.76,1979,4/8
98,13.78,1979,4/9
99,13.74,1979,4/10
100,13.78,1979,4/11
101,13.81,1979,4/12
102,13.88,1979,4/13
103,13.91,1979,4/14
104,14.0,1979,4/15
105,14.08,1979,4/16
106,14.1,1979,4/17
107,14.13,1979,4/18
108,14.18,1979,4/19
109,14.25,1979,4/20
110,14.26,1979,4/21
111,14.22,1979,4/22
112,14.27,1979,4/23
113,14.34,1979,4/24
114,14.41,1979,4/25
115,14.43,1979,4/26
116,14.45,1979,4/27
117,14.47,1979,4/28
118,14.53,1979,4/29
119,14.49,1979,4/30
120,14.51,1979,5/1
121,14.59,1979,5/2
122,14.62,1979,5/3
123,14.59,1979,5/4
124,14.59,1979,5/5
125,14.62,1979,5/6
126,14.69,1979,5/7
127,14.79,1979,5/8
128,14.85,1979,5/9
129,14.93,1979,5/10
130,14.95,1979,5/11
131,14.93,1979,5/12
132,14.96,1979,5/13
133,14.99,1979,5/14
134,15.09,1979,5/15
135,15.17,1979,5/16
136,15.22,1979,5/17
137,15.22,1979,5/18
138,15.21,1979,5/19
139,15.26,1979,5/20
140,15.32,1979,5/21
141,15.35,1979,5/22
142,15.39,1979,5/23
143,15.43,1979,5/24
144,15.43,1979,5/25
145,15.45,1979,5/26
146,15.47,1979,5/27
147,15.52,1979,5/28
148,15.59,1979,5/29
149,15.54,1979,5/30
150,15.48,1979,5/31
151,15.49,1979,6/1
152,15.54,1979,6/2
153,15.61,1979,6/3
154,15.7,1979,6/4
155,15.7,1979,6/5
156,15.72,1979,6/6
157,15.77,1979,6/7
158,15.81,1979,6/8
159,15.86,1979,6/9
160,15.89,1979,6/10
161,15.93,1979,6/11
162,15.91,1979,6/12
163,15.93,1979,6/13
164,15.89,1979,6/14
165,15.84,1979,6/15
166,15.88,1979,6/16
167,15.97,1979,6/17
168,16.07,1979,6/18
169,16.14,1979,6/19
170,16.15,1979,6/20
171,16.13,1979,6/21
172,16.11,1979,6/22
173,16.1,1979,6/23
174,16.14,1979,6/24
175,16.15,1979,6/25
176,16.11,1979,6/26
177,16.11,1979,6/27
178,16.14,1979,6/28
179,16.17,1979,6/29
180,16.14,1979,6/30
181,16.14,1979,7/1
182,16.08,1979,7/2
183,16.07,1979,7/3
184,16.07,1979,7/4
185,16.05,1979,7/5
186,16.08,1979,7/6
187,16.12,1979,7/7
188,16.21,1979,7/8
189,16.23,1979,7/9
190,16.26,1979,7/10
191,16.3,1979,7/11
192,16.27,1979,7/12
193,16.23,1979,7/13
194,16.19,1979,7/14
195,16.17,1979,7/15
196,16.17,1979,7/16
197,16.21,1979,7/17
198,16.18,1979,7/18
199,16.18,1979,7/19
200,16.2,1979,7/20
201,16.22,1979,7/21
202,16.22,1979,7/22
203,16.19,1979,7/23
204,16.11,1979,7/24
205,16.04,1979,7/25
206,16.05,1979,7/26
207,16.09,1979,7/27
208,16.08,1979,7/28
209,16.14,1979,7/29
210,16.19,1979,7/30
211,16.17,1979,7/31
212,16.1,1979,8/1
213,16.16,1979,8/2
214,16.24,1979,8/3
215,16.3,1979,8/4
216,16.36,1979,8/5
217,16.38,1979,8/6
218,16.41,1979,8/7
219,16.44,1979,8/8
220,16.42,1979,8/9
221,16.39,1979,8/10
222,16.34,1979,8/11
223,16.28,1979,8/12
224,16.26,1979,8/13
225,16.27,1979,8/14
226,16.28,1979,8/15
227,16.31,1979,8/16
228,16.28,1979,8/17
229,16.15,1979,8/18
230,16.05,1979,8/19
231,16.04,1979,8/20
232,15.99,1979,8/21
233,15.88,1979,8/22
234,15.88,1979,8/23
235,15.92,1979,8/24
236,15.9,1979,8/25
237,15.81,1979,8/26
238,15.75,1979,8/27
239,15.78,1979,8/28
240,15.77,1979,8/29
241,15.82,1979,8/30
242,15.9,1979,8/31
243,15.89,1979,9/1
244,15.87,1979,9/2
245,15.83,1979,9/3
246,15.7,1979,9/4
247,15.61,1979,9/5
248,15.59,1979,9/6
249,15.66,1979,9/7
250,15.71,1979,9/8
251,15.67,1979,9/9
252,15.6,1979,9/10
253,15.57,1979,9/11
254,15.57,1979,9/12
255,15.53,1979,9/13
256,15.46,1979,9/14
257,15.41,1979,9/15
258,15.43,1979,9/16
259,15.45,1979,9/17
260,15.49,1979,9/18
261,15.56,1979,9/19
262,15.54,1979,9/20
263,15.52,1979,9/21
264,15.53,1979,9/22
265,15.46,1979,9/23
266,15.4,1979,9/24
267,15.39,1979,9/25
268,15.38,1979,9/26
269,15.33,1979,9/27
270,15.28,1979,9/28
271,15.21,1979,9/29
272,15.15,1979,9/30
273,15.13,1979,10/1
274,15.09,1979,10/2
275,15.09,1979,10/3
276,15.01,1979,10/4
277,14.95,1979,10/5
278,14.96,1979,10/6
279,14.94,1979,10/7
280,14.94,1979,10/8
281,14.88,1979,10/9
282,14.81,1979,10/10
283,14.83,1979,10/11
284,14.81,1979,10/12
285,14.72,1979,10/13
286,14.67,1979,10/14
287,14.63,1979,10/15
288,14.57,1979,10/16
289,14.49,1979,10/17
290,14.37,1979,10/18
291,14.29,1979,10/19
292,14.3,1979,10/20
293,14.24,1979,10/21
294,14.18,1979,10/22
295,14.13,1979,10/23
296,14.1,1979,10/24
297,14.06,1979,10/25
298,14.02,1979,10/26
299,13.92,1979,10/27
300,13.82,1979,10/28
301,13.79,1979,10/29
302,13.75,1979,10/30
303,13.74,1979,10/31
304,13.72,1979,11/1
305,13.64,1979,11/2
306,13.54,1979,11/3
307,13.45,1979,11/4
308,13.38,1979,11/5
309,13.33,1979,11/6
310,13.33,1979,11/7
311,13.29,1979,11/8
312,13.22,1979,11/9
313,13.14,1979,11/10
314,13.05,1979,11/11
315,13.04,1979,11/12
316,13.11,1979,11/13
317,13.16,1979,11/14
318,13.23,1979,11/15
319,13.3,1979,11/16
320,13.34,1979,11/17
321,13.34,1979,11/18
322,13.29,1979,11/19
323,13.28,1979,11/20
324,13.29,1979,11/21
325,13.3,1979,11/22
326,13.29,1979,11/23
327,13.34,1979,11/24
328,13.35,1979,11/25
